#{"t_start": 1748606460.5197034, "env_id": "Maze-v0"}
r,l,t
-14.0,14,2.866196
-20.0,20,2.993783
-14.0,14,3.071331
-21.0,21,3.201478
-18.0,18,3.296297
-39.0,39,3.49598
-24.0,24,3.579798
-24.0,24,3.685876
-20.0,20,3.764089
-30.0,30,3.868537
-19.0,19,3.925917
-21.0,21,4.005619
-26.0,26,4.095238
-24.0,24,4.220836
-32.0,32,4.338772
-27.0,27,4.486324
-19.0,19,4.601261
-21.0,21,4.689754
-22.0,22,4.779766
-21.0,21,4.894737
-21.0,21,4.980125
-18.0,18,5.063608
-19.0,19,5.153569
-20.0,20,5.234505
-26.0,26,5.368579
-18.0,18,5.42252
-24.0,24,5.512951
-25.0,25,5.609664
-16.0,16,5.686436
-21.0,21,5.768731
-15.0,15,5.824453
-21.0,21,5.90505
-21.0,21,5.98025
-18.0,18,6.045354
-21.0,21,6.125447
-15.0,15,6.181116
-27.0,27,6.30363
-20.0,20,6.3955
-18.0,18,6.460772
-14.0,14,6.525382
-28.0,28,6.685393
-21.0,21,6.763858
-21.0,21,6.839684
-21.0,21,6.908436
-18.0,18,6.964111
-24.0,24,7.048105
-34.0,34,7.18385
-24.0,24,7.271849
-15.0,15,7.350321
-21.0,21,7.428557
-17.0,17,7.495611
-15.0,15,7.562494
-24.0,24,7.66506
-23.0,23,7.766933
-26.0,26,7.876708
-23.0,23,7.964999
-17.0,17,8.026305
-19.0,19,8.108134
-19.0,19,8.222925
-22.0,22,8.307694
-16.0,16,8.386477
-19.0,19,8.469596
-19.0,19,8.591211
-22.0,22,8.711292
-17.0,17,8.788195
-23.0,23,8.88047
-12.0,12,8.939058
-25.0,25,9.088579
-21.0,21,9.19233
-22.0,22,9.28556
-27.0,27,9.390684
-21.0,21,9.472654
-21.0,21,9.578081
-22.0,22,9.664273
-22.0,22,9.779682
-21.0,21,9.889122
-24.0,24,10.009086
-25.0,25,10.136994
-19.0,19,10.229911
-22.0,22,10.32369
-20.0,20,10.405052
-29.0,29,10.543014
-19.0,19,10.629498
-15.0,15,10.706403
-14.0,14,10.76483
-14.0,14,10.81386
-30.0,30,10.964779
-25.0,25,11.116711
-21.0,21,11.219499
-22.0,22,11.317458
-22.0,22,11.483934
-23.0,23,11.595356
-22.0,22,11.70797
-26.0,26,11.819747
-21.0,21,11.908586
-25.0,25,16.420884
-18.0,18,16.497965
-17.0,17,16.580086
-21.0,21,16.672651
-20.0,20,16.786212
-20.0,20,16.91979
-17.0,17,16.989891
-23.0,13,17.051424
-23.0,23,17.148683
-17.0,17,17.224581
-19.0,19,17.286858
-23.0,23,17.375048
-19.0,19,17.43465
-28.0,28,17.558454
-12.0,12,17.630016
-18.0,18,17.72959
-16.0,16,17.825722
-21.0,21,17.920376
-29.0,29,18.061305
-18.0,18,18.12453
-25.0,25,18.229716
-15.0,15,18.305193
-22.0,22,18.393913
-14.0,14,18.470542
-15.0,15,18.524684
-17.0,17,18.57837
-19.0,19,18.64631
-17.0,17,18.722733
-16.0,16,18.789443
-29.0,29,18.913292
-16.0,16,18.974329
-19.0,19,19.060663
-14.0,14,19.129823
-17.0,17,19.190764
-19.0,19,19.292779
-15.0,15,19.404267
-11.0,11,19.483866
-17.0,17,19.571154
-19.0,19,19.63947
-17.0,17,19.72359
-20.0,20,19.791635
-19.0,19,19.850428
-16.0,16,19.901055
-17.0,17,19.963159
-17.0,17,20.046427
-23.0,23,20.155239
-15.0,15,20.226772
-19.0,19,20.29953
-20.0,20,20.362639
-16.0,16,20.43029
-12.0,12,20.484334
-18.0,18,20.567934
-24.0,24,20.687205
-21.0,21,20.759654
-16.0,16,20.814847
-20.0,20,20.911712
-18.0,18,21.004194
-26.0,26,21.145554
-17.0,17,21.210727
-15.0,15,21.263672
-22.0,22,21.343887
-20.0,20,21.426435
-17.0,17,21.490052
-22.0,22,21.585076
-21.0,21,21.669366
-18.0,18,21.769363
-22.0,22,21.863689
-18.0,18,21.943212
-19.0,19,22.037358
-17.0,17,22.127303
-15.0,15,22.203921
-19.0,19,22.271435
-27.0,27,22.405022
-18.0,18,22.505931
-17.0,17,22.574449
-30.0,30,22.710643
-27.0,27,22.85787
-14.0,14,22.931537
-25.0,25,23.042946
-22.0,22,23.160946
-19.0,19,23.256002
-19.0,19,23.337805
-17.0,17,23.407286
-22.0,22,23.504842
-14.0,14,23.588611
-14.0,14,23.692394
-20.0,20,23.808755
-19.0,19,23.913732
-13.0,13,23.964767
-26.0,26,24.097372
-17.0,17,24.178669
-16.0,16,24.250554
-13.0,13,24.292487
-20.0,20,24.372259
-15.0,15,24.442281
-23.0,23,24.543825
-14.0,14,24.625096
-25.0,25,24.724862
-15.0,15,24.796772
-14.0,14,24.859081
-19.0,19,24.942493
-14.0,14,24.998204
-18.0,18,25.085415
-23.0,23,25.196585
-19.0,19,25.311657
-18.0,18,25.385838
-14.0,14,25.440864
-13.0,13,25.499471
-15.0,15,25.583122
-26.0,26,25.68353
-17.0,17,29.877146
-14.0,14,29.934072
-21.0,21,30.015053
-16.0,16,30.06785
-13.0,13,30.12436
-13.0,13,30.172902
-12.0,12,30.225303
-15.0,15,30.279319
-19.0,19,30.363875
-15.0,15,30.413919
-15.0,15,30.462412
-25.0,25,30.566377
-16.0,16,30.634551
-16.0,16,30.689243
-13.0,13,30.735414
-16.0,16,30.812068
-19.0,19,30.876617
-14.0,14,30.928779
-15.0,15,31.011068
-15.0,15,31.090895
-14.0,14,31.159653
-15.0,15,31.231334
-18.0,18,31.307393
-16.0,16,31.410064
-14.0,14,31.46288
-18.0,18,31.564676
-17.0,17,31.641037
-17.0,17,31.724159
-17.0,17,31.821864
