#{"t_start": 1748631461.8455503, "env_id": "Maze-v0"}
r,l,t
-14.0,16,14.996005
-4.0,12,15.025762
-17.0,19,15.062124
-4.0,12,15.088967
-18.0,19,15.127992
-6.0,13,15.153712
-12.0,15,15.18299
-8.0,14,15.21275
-16.0,17,15.246298
-5.0,14,15.280253
-10.0,14,15.307498
-14.0,16,15.339665
-30.0,25,15.388429
-10.0,13,15.413256
-20.0,20,15.450062
-17.0,16,15.503215
-17.0,19,15.543947
-17.0,21,15.584525
-16.0,16,15.616857
-4.0,11,15.641814
-11.0,14,15.671183
0.0,5,15.683867
-10.0,15,15.71222
-18.0,19,15.745432
0.0,10,15.770387
-8.0,14,15.796435
-6.0,13,15.825652
-16.0,17,15.857236
-10.0,14,15.884637
-14.0,16,15.917177
-6.0,13,15.945593
-16.0,18,15.988174
-16.0,18,16.048153
-16.0,17,16.085251
-12.0,16,16.122698
-10.0,14,16.150995
-30.0,22,16.195343
-10.0,15,16.225167
-8.0,14,16.253639
-6.0,13,16.280228
-2.0,6,16.294989
-10.0,15,16.322823
-24.0,19,16.354974
-14.0,15,16.385703
-20.0,16,16.416329
-8.0,13,16.443792
-22.0,18,16.481864
-10.0,13,16.510031
-18.0,19,16.545764
-10.0,15,16.573336
-16.0,17,16.603784
-7.0,14,16.634672
-20.0,18,16.6709
-3.0,13,16.697944
-14.0,15,16.726637
-18.0,18,16.759934
-8.0,13,16.788394
-16.0,17,16.823699
0.0,13,16.852636
-8.0,13,16.879643
-20.0,16,16.91855
-10.0,13,16.944271
-6.0,12,16.969161
-22.0,20,17.009961
-12.0,15,17.038954
-14.0,16,17.067017
-12.0,15,17.098217
-14.0,17,17.131174
-16.0,17,17.163849
-12.0,15,17.193327
-8.0,14,17.219718
-20.0,20,17.254447
-6.0,13,17.280179
-10.0,15,17.3108
-12.0,15,17.343511
0.0,13,17.371512
-8.0,11,17.40054
-10.0,15,17.43347
-8.0,14,17.460093
-10.0,15,17.491715
-20.0,20,17.526067
-19.0,18,17.577263
-14.0,16,17.605871
-8.0,13,17.631746
-10.0,15,17.665968
-16.0,17,17.696152
-24.0,21,17.738914
-8.0,12,17.76135
-3.0,13,17.78805
-13.0,18,17.824445
-10.0,15,19.197723
-4.0,12,19.225312
-4.0,12,19.252838
-1.0,12,19.278253
-6.0,13,19.304096
-7.0,15,19.334086
-12.0,15,19.365934
-4.0,12,19.389986
-6.0,13,19.416145
-14.0,17,19.446177
-20.0,20,19.482825
-12.0,15,19.514588
-4.0,12,19.53803
-6.0,12,19.564774
-6.0,13,19.594615
-16.0,17,19.627254
-12.0,16,19.657092
0.0,14,19.684403
-9.0,16,19.717351
-14.0,17,19.752778
-20.0,20,19.793913
-7.0,13,19.823321
-14.0,14,19.853884
-9.0,16,19.888012
-14.0,17,19.923853
-3.0,13,19.952568
-6.0,14,19.983298
-14.0,16,20.019978
-7.0,15,20.051975
-2.0,11,20.076448
-4.0,11,20.100806
-17.0,20,20.134894
-8.0,13,20.169169
-6.0,13,20.210808
-8.0,14,20.238237
1.0,11,20.263758
-12.0,15,20.294541
-5.0,13,20.326574
-10.0,8,20.344323
-7.0,14,20.375308
-12.0,15,20.405511
1.0,11,20.43022
-2.0,11,20.452558
-4.0,11,20.474383
-6.0,13,20.502152
-6.0,13,20.531551
-6.0,13,20.560282
-5.0,12,20.584589
-7.0,15,20.616028
-1.0,12,20.642583
-24.0,18,20.679419
-6.0,11,20.705112
-12.0,15,20.734317
-2.0,14,20.762759
-2.0,11,20.788766
-2.0,11,20.813553
-10.0,13,20.840059
-14.0,16,20.877364
-6.0,13,20.907658
-4.0,12,20.934544
-10.0,14,20.963135
-10.0,14,20.99235
-8.0,14,21.036249
-10.0,15,21.066029
-10.0,15,21.093932
-2.0,10,21.116587
-6.0,12,21.142188
-4.0,12,21.169589
-2.0,11,21.192671
-6.0,13,21.219471
-6.0,13,21.247372
-6.0,13,21.271945
-12.0,15,21.304375
-10.0,14,21.334006
-8.0,14,21.361914
-14.0,17,21.39731
-6.0,13,21.423
-8.0,12,21.448961
-3.0,13,21.478392
-12.0,15,21.508653
-18.0,19,21.541734
-8.0,13,21.569636
-6.0,12,21.594533
-13.0,14,21.626427
-4.0,12,21.654126
-11.0,13,21.683178
1.0,11,21.709527
-3.0,13,21.737708
-6.0,12,21.763956
-16.0,18,21.798445
-6.0,12,21.823603
-8.0,14,21.853207
-6.0,13,21.882626
-5.0,14,21.909944
-6.0,12,21.935707
-5.0,13,21.965636
-4.0,12,21.992246
-10.0,15,22.022552
-3.0,12,22.050871
0.0,10,22.071542
-4.0,12,22.098116
-4.0,12,22.122366
-10.0,14,22.152066
-3.0,12,22.179525
-2.0,11,22.204386
-1.0,12,22.240043
-8.0,13,22.283107
-12.0,16,22.319618
-14.0,17,22.353362
-2.0,11,22.378935
-8.0,12,22.404639
-4.0,12,22.430246
-6.0,13,22.455897
-8.0,14,22.486575
-4.0,12,22.509038
-14.0,16,22.541142
-3.0,13,22.569456
-2.0,11,22.593049
-1.0,10,22.616033
-1.0,12,22.642444
-8.0,14,22.672666
-3.0,13,22.70018
-20.0,20,22.739409
-6.0,13,22.76384
-12.0,16,22.797219
-16.0,16,22.829559
-6.0,13,22.855346
-15.0,20,22.895805
-10.0,13,22.925084
-10.0,14,22.952453
-22.0,21,22.989027
-8.0,14,23.018712
-4.0,11,23.046119
-12.0,14,23.077791
-16.0,17,23.11346
-14.0,16,23.147702
-5.0,14,23.191279
-16.0,17,23.227319
-11.0,14,23.254584
-16.0,18,23.285724
-6.0,13,23.31066
-6.0,13,23.336809
