#{"t_start": 1748605162.942302, "env_id": "Maze-v0"}
r,l,t
-33.0,33,3.506264
-234.0,25,3.704273
-26.0,26,3.879974
-20.0,20,4.000282
-84.0,18,4.135411
-28.0,28,4.27736
-21.0,21,4.431172
-75.0,20,4.556015
-20.0,20,4.679992
-32.0,21,4.803839
-20.0,20,4.919119
-126.0,16,5.014445
-150.0,18,5.149324
-96.0,19,5.245396
-96.0,19,5.33561
-174.0,20,5.461751
-22.0,22,5.610788
-121.0,22,5.755927
-168.0,25,5.861259
-211.0,24,6.029393
-23.0,23,6.195891
-186.0,21,6.297614
-270.0,28,6.442939
-43.0,21,6.566177
-24.0,24,6.736232
-22.0,22,6.829247
-138.0,17,6.932936
-20.0,20,7.074166
-26.0,26,7.220112
-16.0,16,7.293057
-32.0,32,7.435171
-138.0,17,7.531853
-126.0,16,7.6304
-28.0,28,7.79037
-138.0,17,7.884891
-84.0,18,7.982171
-150.0,18,8.064881
-30.0,30,8.221095
-24.0,24,8.342675
-25.0,25,8.462029
-25.0,25,8.607932
-25.0,25,8.785413
-36.0,14,8.877491
-22.0,22,8.976526
-21.0,21,9.101178
-54.0,21,9.308102
-19.0,19,9.426372
-108.0,20,9.526194
-162.0,19,9.63146
-128.0,18,9.73966
-199.0,23,9.913065
-30.0,19,10.015535
-23.0,23,10.153416
-127.0,17,10.279962
-20.0,20,10.364219
-26.0,26,10.505922
-25.0,25,10.675937
-138.0,17,10.762266
-174.0,20,10.913877
-114.0,15,11.05074
-138.0,17,11.122673
-23.0,23,11.242119
-138.0,17,11.332115
-96.0,19,11.428197
-90.0,13,11.490457
-90.0,24,11.603716
-126.0,16,11.692157
-175.0,21,11.810226
-75.0,20,11.917928
-18.0,18,12.030813
-150.0,18,12.141904
-26.0,26,12.293769
-24.0,24,12.43311
-84.0,18,12.532295
-23.0,23,12.649285
-163.0,20,12.758558
-31.0,20,12.873138
-33.0,22,13.016862
-21.0,21,13.14525
-16.0,16,13.240044
-70.0,26,13.397205
-26.0,26,13.562356
-114.0,15,13.636222
-27.0,27,13.77386
-30.0,30,13.913838
-108.0,20,14.026656
-150.0,18,14.12706
-26.0,26,14.244352
-187.0,22,14.379622
-145.0,24,14.505286
-114.0,15,14.577929
-90.0,13,14.648575
-145.0,24,14.748016
-186.0,21,14.839738
-18.0,18,14.950722
-49.0,16,15.024948
-29.0,29,19.926186
-17.0,17,20.065973
-138.0,17,20.227674
-24.0,24,20.364612
-17.0,17,20.515633
-20.0,20,20.688516
-168.0,25,20.804606
-198.0,22,20.901562
-33.0,22,21.008805
-132.0,22,21.12639
-18.0,18,21.226704
-90.0,13,21.292751
-26.0,26,21.434101
-78.0,12,21.495647
-31.0,31,21.698672
-17.0,17,21.812491
-24.0,24,21.992047
-153.0,21,22.114546
-108.0,20,22.253803
-205.0,29,22.492197
-34.0,34,22.745892
-114.0,15,22.823972
-90.0,24,22.937023
-24.0,24,23.112169
-22.0,22,23.297793
-217.0,30,23.535948
-162.0,19,23.666728
-18.0,18,23.80566
-25.0,25,23.957792
-96.0,19,24.05614
-198.0,22,24.177461
-121.0,22,24.275896
-20.0,20,24.429187
-31.0,20,24.574897
-55.0,22,24.699694
-258.0,27,24.894368
-29.0,29,25.05805
-24.0,13,25.112612
-25.0,25,25.235728
-126.0,16,25.334967
-30.0,30,25.529194
-18.0,18,25.619277
-138.0,17,25.706895
-20.0,20,25.814224
-270.0,28,25.959457
-199.0,23,26.082508
-26.0,26,26.269315
-19.0,19,26.397902
-62.0,18,26.508923
-120.0,21,26.632926
-36.0,25,26.787717
-61.0,17,26.900329
-21.0,21,27.00847
-24.0,24,27.205626
-114.0,15,27.332511
-31.0,31,27.494061
-138.0,17,27.600816
-28.0,28,27.779944
-24.0,24,27.93439
-30.0,30,28.077052
-19.0,19,28.193103
-64.0,20,28.321785
-102.0,25,28.453593
-246.0,26,28.605827
-23.0,23,28.750039
-78.0,12,28.833048
-23.0,23,28.975918
-72.0,17,29.085952
-46.0,35,29.277844
-175.0,21,29.384439
-114.0,15,29.458276
-69.0,25,29.59866
-91.0,14,29.705792
-29.0,29,29.849401
-18.0,18,29.970499
-84.0,18,30.068623
-22.0,22,30.190233
-174.0,20,30.291901
-26.0,26,30.425975
-126.0,16,30.515179
-27.0,27,30.675153
-22.0,22,30.81933
-102.0,14,30.915975
-20.0,20,31.036659
-174.0,20,31.159431
-22.0,22,31.292893
-24.0,24,31.440514
-52.0,19,31.558952
-42.0,20,31.659966
-29.0,29,31.846992
-18.0,18,31.972287
-116.0,17,32.104821
-31.0,31,32.290287
-19.0,19,32.391396
-22.0,22,36.703076
-26.0,26,36.863579
-61.0,28,37.035872
-20.0,20,37.161524
-84.0,18,37.247987
-30.0,30,37.414434
-23.0,23,37.524866
-19.0,19,37.656939
-23.0,23,37.787144
-54.0,21,37.89297
-22.0,22,38.003519
-43.0,21,38.13202
-121.0,22,38.26053
-24.0,24,38.416221
-20.0,20,38.523594
-102.0,25,38.62667
-30.0,30,38.785885
-121.0,33,38.951468
-20.0,20,39.045744
-77.0,22,39.168586
-22.0,22,39.290703
-180.0,26,39.449768
-29.0,29,39.63624
-44.0,22,39.75684
-86.0,20,39.859622
-20.0,20,39.989016
-57.0,24,40.139427
-21.0,21,40.26101
-19.0,19,40.376468
-21.0,21,40.496532
-29.0,29,40.665329
-22.0,22,40.801947
-27.0,27,40.944185
-121.0,22,41.060636
-23.0,23,41.19776
-20.0,20,41.314368
-23.0,23,41.428224
-116.0,17,41.523884
-23.0,23,41.64283
-26.0,26,41.810145
-23.0,23,41.96174
-122.0,23,42.079411
-29.0,29,42.263912
-21.0,21,42.398733
-29.0,29,42.554216
-18.0,18,42.64429
-22.0,22,42.776912
-20.0,20,42.916629
-21.0,21,43.052334
-19.0,19,43.142605
-28.0,28,43.308082
-21.0,21,43.42716
-22.0,22,43.57833
-31.0,31,43.719065
-129.0,19,43.797337
-127.0,28,43.967602
-19.0,19,44.062478
-246.0,26,44.184782
-111.0,23,44.307429
-22.0,22,44.45338
-21.0,21,44.594726
-127.0,17,44.69663
-24.0,24,44.815574
-93.0,16,44.896807
-168.0,25,45.03316
-17.0,17,45.13598
-16.0,16,45.252373
-23.0,23,45.405695
-29.0,29,45.569561
-30.0,30,45.710238
-24.0,24,45.866961
-29.0,29,46.029849
-29.0,29,46.216313
-30.0,30,46.40135
-33.0,33,46.613897
-19.0,19,46.728426
-138.0,17,46.812487
-39.0,17,46.908276
-168.0,25,47.075834
-18.0,18,47.195098
-31.0,31,47.393761
-31.0,31,47.554944
-23.0,23,47.70658
-51.0,18,47.823033
-66.0,22,47.91806
-25.0,25,48.073111
-20.0,20,48.198322
-29.0,29,48.3539
-23.0,23,52.755754
-23.0,23,52.890775
-213.0,26,53.03837
-21.0,21,53.161711
-21.0,21,53.266263
-21.0,21,53.401509
-29.0,29,53.559467
-163.0,20,53.673185
-19.0,19,53.763156
-16.0,16,53.869367
-23.0,23,53.9871
-21.0,21,54.100706
-23.0,23,54.22349
-33.0,22,54.340861
-29.0,29,54.516579
-19.0,19,54.625598
-16.0,16,54.697779
-29.0,29,54.858997
-18.0,18,54.949316
-150.0,18,55.066948
-21.0,21,55.202823
-18.0,18,55.317823
-18.0,18,55.45055
-20.0,20,55.555703
-23.0,23,55.654825
-49.0,16,55.722085
-21.0,21,55.826595
-32.0,32,55.984835
-156.0,24,56.120336
-210.0,23,56.218925
-45.0,23,56.354281
-22.0,22,56.508609
-60.0,16,56.604413
-99.0,22,56.728223
-32.0,32,56.878109
-24.0,24,57.034899
-18.0,18,57.146595
-20.0,20,57.257762
-19.0,19,57.358856
-20.0,20,57.480062
-21.0,21,57.631374
-22.0,22,57.73246
-23.0,21,57.940999
-26.0,26,58.186786
-30.0,30,58.330177
-23.0,23,58.548455
-29.0,29,58.717556
-23.0,23,58.842551
-30.0,30,59.118774
-18.0,18,59.221114
-38.0,38,59.508574
-150.0,18,59.602802
-27.0,27,59.755531
-23.0,23,59.87911
-87.0,21,59.986672
-22.0,22,60.140544
-22.0,22,60.340433
-198.0,22,60.463897
-27.0,16,60.577993
-54.0,21,60.715847
-25.0,25,60.925316
-43.0,21,61.078957
-26.0,26,61.221239
-23.0,23,61.323653
-33.0,33,61.515376
-126.0,16,61.583225
-121.0,22,61.706861
-32.0,21,61.813697
-23.0,23,61.953836
-22.0,22,62.080864
-18.0,18,62.18435
-20.0,20,62.295091
-23.0,23,62.448084
-28.0,28,62.608038
-30.0,19,62.749607
-18.0,18,62.845274
-66.0,22,62.970386
-24.0,24,63.1046
-22.0,22,63.233976
-20.0,20,63.377327
-121.0,22,63.484063
-121.0,22,63.60884
-17.0,17,63.704777
-23.0,23,63.81826
-138.0,17,63.925954
-20.0,20,64.031664
-18.0,18,64.142999
-28.0,28,64.303661
-22.0,22,64.421251
-22.0,22,64.536394
-24.0,24,64.682873
-24.0,24,64.78977
-26.0,26,69.471606
-23.0,23,69.602164
-23.0,23,69.737959
-22.0,22,69.858883
-174.0,20,69.979243
-28.0,28,70.140556
-33.0,22,70.284084
-17.0,17,70.361292
-22.0,22,70.5009
-20.0,20,70.688417
-20.0,20,70.808442
-211.0,24,70.912496
-25.0,25,71.050785
-29.0,29,71.175833
-24.0,24,71.327883
-24.0,24,71.469974
-22.0,22,71.563113
-20.0,20,71.677405
-32.0,21,71.80874
-17.0,17,71.914745
-37.0,15,72.00825
-18.0,18,72.135538
-18.0,18,72.21987
-28.0,28,72.351244
-31.0,31,72.502604
-24.0,24,72.634115
-17.0,17,72.735437
-18.0,18,72.838524
-50.0,17,72.932283
-22.0,22,73.051818
-23.0,23,73.185354
-24.0,24,73.32585
-138.0,17,73.437326
-24.0,24,73.622771
-28.0,28,73.828333
-16.0,16,73.952965
-31.0,20,74.05504
-24.0,24,74.24186
-24.0,24,74.382244
-28.0,28,74.553258
-23.0,23,74.695477
