#{"t_start": 1748645187.6311405, "env_id": "Maze-v0"}
r,l,t
-7.0,3,1.148953
-12.0,5,1.156856
-9.0,3,1.162318
-11.0,3,1.166467
-5.0,3,1.171504
-16.0,6,1.178405
-14.0,5,1.185341
0.0,3,1.193492
-16.0,6,1.201403
-5.0,3,1.206486
-11.0,4,1.213539
-9.0,3,1.217374
-13.0,5,1.223556
-16.0,5,1.232244
-10.0,3,1.236439
-15.0,5,1.245732
-13.0,4,1.251259
-12.0,4,1.256361
-11.0,5,1.262417
-11.0,5,1.268043
-7.0,3,1.272094
-12.0,3,1.276275
-9.0,3,1.280172
-10.0,5,1.287153
-17.0,6,1.294048
-5.0,3,1.298962
-17.0,5,1.305645
-8.0,3,1.309937
-14.0,6,1.318311
-7.0,3,1.322958
-6.0,4,1.330918
-7.0,4,1.336868
-12.0,5,1.346138
-12.0,5,1.353377
-9.0,3,1.358382
-13.0,5,1.366679
-7.0,3,1.371732
-2.0,4,1.379251
-9.0,4,1.387058
-8.0,3,1.392005
-5.0,3,1.396505
-9.0,3,1.401112
-9.0,4,1.406165
-9.0,3,1.411191
-5.0,3,1.415288
-11.0,5,1.423327
-12.0,5,1.42963
-15.0,7,1.43853
-9.0,3,1.442683
-9.0,3,1.446578
-8.0,3,1.450543
-8.0,3,1.45424
-10.0,4,1.460539
-12.0,4,1.466828
-6.0,3,1.470426
-5.0,6,1.481365
-14.0,4,1.486149
-18.0,5,1.49241
-14.0,5,1.4982
-8.0,4,1.504978
-9.0,3,1.510375
-8.0,7,1.52421
-7.0,4,1.531755
-11.0,3,1.535666
-10.0,4,1.540219
-13.0,4,1.545524
-9.0,4,1.550271
-9.0,5,1.555851
-18.0,5,1.561629
-11.0,4,1.566384
-12.0,4,1.571116
-14.0,6,1.577729
-12.0,5,1.583339
-4.0,3,1.588794
-4.0,3,1.594218
-17.0,6,1.600609
0.0,3,1.61043
-6.0,3,1.616594
-7.0,4,1.628416
-15.0,6,1.643202
-3.0,3,1.654586
-14.0,4,1.662116
-10.0,4,1.670044
-12.0,4,1.67515
-16.0,7,1.685336
-8.0,3,1.690509
-6.0,4,1.699167
-10.0,3,1.704263
-9.0,4,1.712524
-9.0,3,1.71738
-13.0,4,1.722903
-6.0,3,1.726708
-11.0,4,1.73326
-21.0,9,1.751547
-18.0,8,1.763767
-6.0,4,1.771089
-10.0,3,1.775097
-6.0,5,1.78707
-12.0,3,1.791043
-7.0,3,1.795121
-8.0,4,1.802896
-4.0,3,1.80673
-12.0,4,1.816824
-19.0,6,1.823947
-17.0,7,1.836577
-4.0,3,1.84137
-9.0,6,1.848707
-9.0,3,1.85376
