#{"t_start": 1748644053.4191341, "env_id": "Maze-v0"}
r,l,t
-121.0,73,1.48907
-68.0,59,1.607479
-97.0,74,1.757536
-108.0,79,1.919876
-84.0,68,2.109115
-94.0,76,2.283816
-112.0,82,2.477159
-86.0,72,2.614206
-62.0,57,2.75225
-83.0,68,2.877689
-45.0,36,2.972079
-68.0,64,3.111161
-129.0,87,3.287272
-100.0,78,3.42739
-79.0,63,4.011598
-90.0,66,4.174461
-101.0,71,4.339775
-89.0,71,4.486492
-54.0,57,4.648913
-88.0,66,4.814967
-40.0,31,4.879901
-87.0,68,5.02888
-72.0,62,5.166272
-83.0,57,5.289796
-74.0,63,5.441324
-88.0,67,5.572882
-95.0,72,5.713657
-106.0,79,5.886727
-88.0,72,6.0497
-92.0,71,6.220104
-82.0,68,7.716694
-110.0,78,7.890615
-91.0,70,8.030479
-78.0,66,8.174133
-75.0,65,8.303949
-98.0,75,8.463729
-88.0,71,8.594308
-102.0,78,8.754547
-97.0,73,8.916245
-104.0,77,9.05253
-96.0,77,9.189317
-23.0,24,9.239469
-104.0,77,9.388058
-66.0,59,9.538193
-27.0,27,9.596807
-96.0,72,9.78866
-68.0,60,9.90582
-56.0,53,10.022722
-100.0,73,10.18068
-10.0,14,10.218208
-86.0,70,10.348603
-45.0,34,10.416918
-108.0,79,10.593907
-86.0,66,10.758993
-88.0,70,10.922256
-75.0,61,11.057563
-82.0,67,11.198688
-31.0,25,11.257047
-90.0,71,11.409181
-68.0,61,11.527018
-26.0,24,11.576075
-69.0,55,11.7042
-68.0,52,11.830058
-88.0,70,11.968303
-68.0,44,13.505925
-67.0,57,13.621001
-94.0,75,13.771393
-84.0,69,13.914846
-79.0,64,14.043131
-64.0,60,14.161305
-95.0,73,14.312929
-78.0,68,14.433781
-82.0,66,14.576255
-86.0,71,14.71064
-85.0,67,14.846786
-86.0,70,14.977017
-74.0,66,15.126433
-89.0,71,15.277815
-65.0,58,15.401491
-73.0,60,15.553491
-70.0,62,15.675378
-68.0,58,15.801182
-78.0,68,15.925433
-98.0,76,16.089003
-73.0,63,16.217222
-67.0,61,16.361857
-104.0,80,16.508666
-93.0,71,16.650509
-82.0,67,16.781419
-78.0,69,16.925874
-12.0,20,16.969928
-8.0,16,17.006508
-65.0,58,17.124344
-79.0,67,17.247657
-90.0,74,17.436913
-54.0,51,17.546961
-88.0,71,17.672807
-88.0,70,19.15549
-72.0,63,19.291387
-71.0,61,19.415661
-72.0,67,19.563085
-96.0,69,19.707292
-40.0,25,19.762289
-97.0,75,19.911604
-29.0,16,19.964298
-16.0,22,20.009454
-14.0,17,20.042724
-98.0,72,20.199201
-65.0,59,20.347376
-75.0,66,20.538725
-88.0,72,20.729134
-51.0,52,20.871907
-78.0,67,21.060999
-108.0,82,21.223458
-53.0,51,21.321034
-80.0,64,21.469682
-69.0,60,21.63362
2.0,10,21.668262
-81.0,67,21.840492
-58.0,57,21.979586
-94.0,73,22.178379
-103.0,75,22.354538
-85.0,70,22.540415
-66.0,62,22.697998
-62.0,57,22.838869
-17.0,22,22.886635
-104.0,78,23.079051
-34.0,32,23.163563
-79.0,66,23.345359
-83.0,64,23.530077
-5.0,9,23.566242
-73.0,63,23.726614
-62.0,60,23.848264
-81.0,71,25.464429
-8.0,18,25.506049
-64.0,60,25.649651
-96.0,77,25.814463
-91.0,72,25.96102
-48.0,52,26.088195
-74.0,62,26.226137
-109.0,84,26.417633
-80.0,68,26.570096
-86.0,72,26.747047
-76.0,63,26.895046
-57.0,40,26.997785
-79.0,70,27.16974
-55.0,53,27.311594
-99.0,80,27.521005
-67.0,59,27.673619
-65.0,61,27.811873
-74.0,65,27.960381
-112.0,82,28.178411
-79.0,66,28.333789
-66.0,61,28.475429
-18.0,14,28.505157
-98.0,79,28.710096
-117.0,86,28.888283
-53.0,53,29.027019
-74.0,64,29.165573
-90.0,75,29.334799
-101.0,76,29.552547
-79.0,68,29.718431
-72.0,64,29.887632
-92.0,76,30.085932
-102.0,79,30.270311
-66.0,61,31.990233
-55.0,56,32.129106
-78.0,68,32.282501
-72.0,62,32.442121
-58.0,58,32.611037
-19.0,12,32.643079
-62.0,58,32.773768
-80.0,67,32.953698
-81.0,70,33.132806
-69.0,62,33.30204
-81.0,69,33.451507
-53.0,53,33.591659
-81.0,71,33.761228
-104.0,79,33.964332
-50.0,52,34.101545
-84.0,70,34.269825
-80.0,66,34.417628
-80.0,69,34.580933
-62.0,60,34.733743
-1.0,10,34.756561
-68.0,58,34.882296
-87.0,73,35.053053
-71.0,60,35.197561
-76.0,68,35.405955
-72.0,63,35.59046
-78.0,65,35.770919
-85.0,68,35.911349
-75.0,65,36.072226
-90.0,76,36.264207
-68.0,64,36.401299
-56.0,59,36.575884
-54.0,54,36.708886
-62.0,58,36.836766
-97.0,77,37.009011
-94.0,74,39.125501
-74.0,67,39.270175
-53.0,57,39.406691
-69.0,60,39.566854
-94.0,75,39.75035
-59.0,57,39.881262
-51.0,51,40.033176
-99.0,76,40.205876
-62.0,56,40.392867
-129.0,90,40.592825
-77.0,64,40.751161
-86.0,73,40.943913
-90.0,73,41.116399
-93.0,72,41.280189
3.0,11,41.308326
-76.0,70,41.460423
-106.0,82,41.624565
-111.0,80,41.802577
-62.0,56,41.92001
-71.0,63,42.072871
-53.0,56,42.204815
-82.0,70,42.388802
-107.0,81,42.588684
-58.0,56,42.710754
-69.0,63,42.856902
-56.0,55,42.969399
-65.0,60,43.108394
-62.0,57,43.267065
-84.0,68,43.421695
-65.0,62,43.547463
-67.0,61,43.690529
-73.0,66,45.248757
-102.0,80,45.390798
-94.0,73,45.534267
-84.0,71,45.671857
-78.0,68,45.805852
-85.0,69,45.928435
-68.0,63,46.049273
-89.0,74,46.197768
-8.0,13,46.22811
-102.0,78,46.380604
-95.0,76,46.540635
-79.0,63,46.679202
-85.0,71,46.858958
-78.0,70,47.023356
-4.0,12,47.056347
-70.0,62,47.199437
-77.0,69,47.344847
-43.0,53,47.452766
-74.0,66,47.589579
-77.0,65,47.712334
-94.0,75,47.856679
-75.0,65,48.004924
-72.0,65,48.138844
-72.0,68,48.294296
-72.0,61,48.418937
-98.0,77,48.574645
-91.0,75,48.721613
-57.0,58,48.857393
-80.0,65,49.022143
-78.0,68,49.213732
-75.0,65,49.409758
-48.0,54,49.547586
-72.0,65,51.35737
-76.0,68,51.536191
-124.0,90,51.70831
-67.0,63,51.82684
-62.0,64,51.979518
-60.0,58,52.106224
-72.0,58,52.261207
-85.0,70,52.470441
-75.0,70,52.650534
-62.0,60,52.804482
-79.0,69,52.93616
-100.0,77,53.084526
-82.0,68,53.213166
-114.0,86,53.385668
-83.0,67,53.513
-90.0,71,53.637315
-80.0,64,53.76335
-64.0,58,53.871631
-111.0,84,54.016724
-82.0,70,54.145082
-90.0,75,54.299686
-47.0,50,54.415662
-66.0,64,54.616002
-81.0,65,54.753026
-104.0,82,54.973816
-70.0,65,55.155108
-127.0,94,55.320091
-73.0,66,55.453041
-60.0,54,55.575618
-60.0,60,55.700837
-76.0,69,57.483173
-73.0,64,57.679129
-80.0,69,57.796936
-65.0,60,58.008866
-60.0,58,58.125198
-28.0,16,58.162996
-55.0,55,58.312683
-61.0,56,58.482749
-81.0,68,58.617583
-79.0,63,58.759535
-83.0,66,58.907693
-76.0,67,59.030571
-108.0,79,59.251338
-101.0,79,59.394874
-81.0,67,59.578085
7.0,11,59.630323
-122.0,92,59.80211
-94.0,76,60.027867
-72.0,65,60.137552
-83.0,71,60.278024
-45.0,50,60.442186
-74.0,67,60.611921
-69.0,64,60.747596
-76.0,66,60.870493
-82.0,72,60.988775
-118.0,90,61.1802
-54.0,52,61.277813
-13.0,14,61.309319
-57.0,54,61.471975
-81.0,70,61.650832
-75.0,65,61.786772
-86.0,71,61.924069
-123.0,92,62.097703
-50.0,56,63.818895
-84.0,69,63.951743
-70.0,66,64.08984
-55.0,55,64.198498
-147.0,103,64.385788
-86.0,72,64.528775
-220.0,142,64.785367
-82.0,67,64.930463
-121.0,90,65.095704
-75.0,68,65.216026
-92.0,74,65.352004
-66.0,61,65.454785
-152.0,107,65.629261
-101.0,79,65.770961
-70.0,63,65.888896
-139.0,96,66.066083
-81.0,70,66.189529
-80.0,71,66.316432
-83.0,70,66.451147
-65.0,63,66.567622
-45.0,51,66.665681
-91.0,75,66.872063
-106.0,82,67.052417
-72.0,65,67.181371
-12.0,17,67.25445
-80.0,69,67.438934
-75.0,66,67.583728
-81.0,71,67.778516
-66.0,62,69.52604
-82.0,65,69.646299
-93.0,76,69.780175
-96.0,76,70.045392
-82.0,66,70.158824
-54.0,58,70.304949
-93.0,72,70.512732
-41.0,49,70.60957
-72.0,65,70.721812
-108.0,81,70.866472
-90.0,74,70.991338
-68.0,61,71.113797
-102.0,82,71.26325
-79.0,66,71.440278
-123.0,88,71.647635
-79.0,62,71.765465
-90.0,74,71.906244
-107.0,83,72.05478
-70.0,62,72.162247
-117.0,85,72.42418
-97.0,79,72.62449
-93.0,73,72.818145
-62.0,63,72.927235
-85.0,68,73.048983
-68.0,63,73.20451
-86.0,74,73.41455
-106.0,83,73.56033
-83.0,71,73.683512
-96.0,74,73.869902
-76.0,67,75.410783
-95.0,75,75.545515
-81.0,67,75.662287
-82.0,68,75.781667
-63.0,60,75.888878
-72.0,64,76.013559
-20.0,29,76.080939
-115.0,88,76.249466
-86.0,73,76.372483
-62.0,60,76.492046
-77.0,64,76.614031
-86.0,70,76.738348
-72.0,65,76.857315
-22.0,25,76.907064
-57.0,55,77.016062
-145.0,101,77.189667
-120.0,90,77.350947
-64.0,58,77.481932
-64.0,63,77.615678
-76.0,63,77.757516
-143.0,102,78.001004
-91.0,75,78.152773
-133.0,95,78.319065
-105.0,79,78.465992
-84.0,71,78.589153
-57.0,56,78.698601
-114.0,88,78.849165
-72.0,63,79.010461
-83.0,71,79.144373
-90.0,76,80.731858
-97.0,77,80.868616
-73.0,67,80.989274
-91.0,75,81.133074
-100.0,75,81.271939
-72.0,61,81.389955
-50.0,52,81.497374
-73.0,65,81.699059
-83.0,69,81.855578
-110.0,84,81.996881
-44.0,50,82.172297
-91.0,74,82.320187
-69.0,59,82.427227
-78.0,65,82.552425
-81.0,68,82.677796
-73.0,66,82.827767
-94.0,74,82.981429
-94.0,75,83.1068
-73.0,66,83.222617
-132.0,95,83.37963
-90.0,76,83.607805
-98.0,75,83.771757
-76.0,66,83.886172
-89.0,70,84.016839
-70.0,64,84.125627
-103.0,76,84.356957
-86.0,72,84.502756
-84.0,73,84.729674
-71.0,61,84.850301
-52.0,57,85.041924
-62.0,56,86.975832
-76.0,70,87.168689
-73.0,65,87.282246
-116.0,86,87.553215
-2.0,6,87.568142
-68.0,64,87.767816
-74.0,69,87.913852
-52.0,53,88.088111
-72.0,65,88.209859
-88.0,72,88.425982
-78.0,68,88.538265
-88.0,72,88.72801
-78.0,70,88.87867
-76.0,71,89.094529
-90.0,74,89.234694
-60.0,59,89.408552
-103.0,80,89.577308
-91.0,75,89.798609
-84.0,70,89.935242
-107.0,84,90.077273
-76.0,68,90.213641
-116.0,87,90.372115
-68.0,61,90.480662
-69.0,61,90.621712
-86.0,74,90.773157
-72.0,65,90.907144
-90.0,71,91.05706
-82.0,68,91.186287
-93.0,74,91.345587
-62.0,54,91.450752
-91.0,72,93.03728
-83.0,71,93.158174
-68.0,63,93.282319
-46.0,52,93.388179
-107.0,81,93.538897
-57.0,55,93.651571
-86.0,72,93.783298
-55.0,53,93.888844
-95.0,75,94.048181
-98.0,78,94.192052
-102.0,83,94.346281
-98.0,77,94.58127
-11.0,13,94.610377
-61.0,55,94.720625
-117.0,85,94.874011
-76.0,70,95.048018
-138.0,97,95.246346
-132.0,96,95.402991
-114.0,87,95.557057
-5.0,8,95.577472
-4.0,14,95.607773
-50.0,56,95.705236
-70.0,62,95.821757
-6.0,7,95.840004
-76.0,63,95.960321
-118.0,88,96.138578
-90.0,74,96.27615
-94.0,76,96.407458
-110.0,82,96.566558
-91.0,72,96.70535
-87.0,72,96.833075
-104.0,77,96.982153
-64.0,60,98.62868
-78.0,71,98.746291
-83.0,70,98.869892
-61.0,59,98.991464
-123.0,94,99.262104
-58.0,55,99.366664
3.0,9,99.390862
-102.0,80,99.529204
-54.0,58,99.638862
-88.0,74,99.777989
-93.0,75,99.903593
-90.0,76,100.038207
-97.0,81,100.178576
-64.0,60,100.300079
-142.0,105,100.47769
-92.0,73,100.612559
-69.0,62,100.725544
-64.0,60,100.829831
-101.0,78,100.976181
-88.0,71,101.105809
-99.0,79,101.249931
-112.0,89,101.396839
-116.0,93,101.552643
-87.0,71,101.689824
-94.0,76,101.824496
-106.0,80,101.962214
-113.0,88,102.106923
-56.0,57,102.217199
-2.0,10,102.245053
-118.0,89,103.760496
-68.0,63,103.879506
-56.0,59,103.989116
-87.0,73,104.135569
-118.0,89,104.299579
-75.0,65,104.418388
-82.0,68,104.555343
-67.0,57,104.664965
-11.0,11,104.689999
-64.0,63,104.796225
-98.0,78,104.936366
-68.0,63,105.05231
-109.0,82,105.197885
-95.0,78,105.337389
-92.0,71,105.461754
-73.0,65,105.610898
-66.0,62,105.731802
-71.0,66,105.867722
-92.0,76,106.022001
-118.0,87,106.181367
-66.0,61,106.322025
-66.0,63,106.439628
1.0,11,106.480563
-122.0,92,106.635751
-65.0,60,106.759195
-73.0,66,106.890179
-96.0,76,107.020494
-86.0,70,107.147764
-104.0,80,107.299438
-58.0,58,107.429694
-99.0,78,107.59985
-88.0,75,109.142775
-4.0,14,109.183293
-133.0,98,109.381008
-63.0,61,109.518222
-72.0,65,109.633658
-109.0,84,109.781157
-68.0,62,109.89484
-66.0,62,110.06449
-157.0,110,110.380562
-68.0,65,110.516978
-117.0,90,110.704101
-94.0,77,110.87658
-75.0,66,111.028049
-84.0,70,111.161996
-89.0,75,111.326066
-99.0,79,111.479311
4.0,7,111.497653
-149.0,103,111.69494
-74.0,61,111.814168
-100.0,79,111.965555
-90.0,72,112.099046
-103.0,78,112.237362
-84.0,74,112.372716
0.0,7,112.390393
-98.0,78,112.528195
-82.0,67,112.661047
-58.0,59,112.779551
-80.0,70,112.913226
-81.0,69,113.035368
-45.0,50,113.161448
-76.0,64,114.765971
6.0,11,114.792209
-99.0,82,114.943778
-94.0,79,115.104386
-66.0,61,115.229667
-3.0,12,115.257085
-65.0,62,115.412694
-96.0,75,115.590726
-77.0,65,115.707366
-72.0,63,115.831846
-96.0,77,115.977545
-72.0,64,116.111687
-61.0,56,116.228435
-72.0,63,116.355734
-78.0,68,116.518202
-83.0,69,116.666555
-68.0,63,116.775565
-58.0,57,116.929776
-68.0,62,117.050648
-80.0,70,117.193677
-76.0,68,117.333012
-58.0,56,117.442671
-77.0,64,117.552982
-91.0,75,117.690446
-66.0,62,117.806932
-48.0,52,117.91593
-124.0,93,118.073869
-70.0,64,118.206943
-87.0,69,118.346223
-113.0,85,118.515176
-110.0,84,118.677131
-127.0,96,120.266227
-66.0,60,120.402431
-76.0,70,120.538861
-128.0,94,120.697875
-94.0,76,120.855317
-98.0,79,121.000166
-63.0,58,121.114448
-89.0,77,121.258497
-89.0,72,121.403997
0.0,8,121.427634
-112.0,85,121.589421
-111.0,85,121.744711
-100.0,83,121.923919
-88.0,69,122.091978
-118.0,89,122.264292
-89.0,73,122.427237
-62.0,58,122.537424
-81.0,69,122.671013
-135.0,100,122.865162
-80.0,71,123.023023
-59.0,55,123.180063
2.0,11,123.209905
-64.0,63,123.332898
-87.0,73,123.486236
-106.0,83,123.628918
-95.0,74,123.794816
-104.0,83,123.941955
-113.0,83,124.11837
-51.0,51,124.221803
-56.0,61,124.338696
-75.0,66,125.888672
-100.0,80,126.045628
-52.0,54,126.166291
-69.0,63,126.290914
0.0,10,126.323158
-114.0,89,126.5406
-106.0,83,126.709401
-99.0,76,126.867387
-66.0,66,126.993567
6.0,11,127.025549
-198.0,131,127.253579
-99.0,78,127.414613
-96.0,73,127.562893
-135.0,95,127.863161
-90.0,76,128.058764
-63.0,59,128.186183
-78.0,68,128.320989
-81.0,69,128.446088
-131.0,98,128.622413
-93.0,75,128.764553
-41.0,49,128.869198
-43.0,49,128.969191
-115.0,88,129.14799
-63.0,61,129.268876
-56.0,54,129.408843
-94.0,76,129.54697
-94.0,79,129.69141
-92.0,78,129.88365
-81.0,67,130.000958
-104.0,79,131.614935
-113.0,87,131.775485
-76.0,68,131.962255
-109.0,81,132.110215
-94.0,80,132.270311
-8.0,11,132.298206
-4.0,17,132.337651
-135.0,97,132.504353
-74.0,68,132.630487
-55.0,58,132.749616
-56.0,61,132.863718
-75.0,65,132.982084
-64.0,61,133.098762
-86.0,73,133.233877
-46.0,52,133.334023
-106.0,81,133.507322
-118.0,90,133.681555
-76.0,67,133.816038
-83.0,71,133.959216
-80.0,69,134.08834
-60.0,55,134.196567
-100.0,79,134.345719
-74.0,67,134.465711
-116.0,90,134.642299
-85.0,74,134.791291
-86.0,73,134.924588
-100.0,79,135.072827
-49.0,52,135.17683
0.0,12,135.207147
-65.0,60,135.320196
-79.0,64,135.47099
-82.0,75,136.972976
-80.0,72,137.090165
-100.0,82,137.233268
-82.0,70,137.382393
-102.0,83,137.525382
-109.0,85,137.683568
3.0,10,137.706137
-48.0,52,137.807165
-120.0,94,137.977616
-134.0,99,138.142807
-101.0,82,138.302111
-95.0,78,138.446055
-144.0,105,138.633512
-110.0,88,138.798674
-71.0,66,138.928955
-131.0,97,139.106219
-160.0,109,139.301254
-108.0,84,139.456681
-58.0,58,139.596579
-124.0,94,139.768119
-100.0,80,139.910128
-66.0,63,140.033126
-78.0,70,140.170221
-87.0,70,140.306879
4.0,13,140.339932
-134.0,98,140.52675
-72.0,62,140.650254
-209.0,136,142.237871
-95.0,74,142.385487
-81.0,73,142.520027
-95.0,76,142.661283
-76.0,69,142.778941
-97.0,77,142.924482
-72.0,69,143.057364
-121.0,92,143.214878
-65.0,59,143.330731
-128.0,94,143.499607
-82.0,70,143.64867
0.0,10,143.676747
-108.0,86,143.83003
-112.0,86,143.996834
-70.0,67,144.106709
-68.0,62,144.224375
-82.0,66,144.359467
-54.0,59,144.469564
-74.0,67,144.606186
-83.0,75,144.764755
-84.0,72,144.910797
-68.0,64,145.048097
-72.0,65,145.16871
-86.0,74,145.29577
-94.0,76,145.423816
-98.0,78,145.568671
-109.0,85,145.724453
-73.0,67,145.842453
-65.0,63,145.965957
-86.0,73,147.60293
-69.0,66,147.742625
-72.0,64,147.882607
-81.0,67,148.020406
-218.0,143,148.27186
-40.0,51,148.371153
-58.0,60,148.484994
-92.0,78,148.623778
-93.0,78,148.765504
-151.0,107,148.965172
-110.0,87,149.128216
-6.0,15,149.167457
-103.0,81,149.313701
-46.0,55,149.424569
-95.0,76,149.569595
-91.0,76,149.713533
-62.0,62,149.836651
-102.0,82,149.991711
-66.0,62,150.104374
-85.0,72,150.252256
-107.0,86,150.432705
-67.0,59,150.551273
1.0,13,150.584168
-102.0,80,150.733679
-60.0,62,150.859696
-118.0,92,151.03124
-76.0,66,151.157717
3.0,7,151.175372
-69.0,64,151.30348
-102.0,86,152.770295
-135.0,99,152.933123
-23.0,23,152.984257
-113.0,88,153.137574
-159.0,111,153.323316
-74.0,66,153.433563
-104.0,85,153.579246
-72.0,63,153.688715
-94.0,73,153.846309
-107.0,84,153.992656
-137.0,99,154.185449
-117.0,90,154.360934
2.0,8,154.382646
-77.0,66,154.503497
-191.0,127,154.731836
-106.0,83,154.87288
-86.0,73,154.995683
-126.0,95,155.16387
-35.0,48,155.25785
-60.0,58,155.37037
-67.0,62,155.493528
-90.0,77,155.650479
-67.0,66,155.775404
-76.0,69,155.89731
-93.0,76,156.040532
-151.0,107,156.218763
-188.0,127,156.439694
-79.0,68,157.875924
-109.0,83,158.027819
-79.0,69,158.166385
-79.0,69,158.303105
-64.0,64,158.426704
0.0,8,158.455897
-113.0,84,158.600716
-86.0,71,158.72388
-70.0,65,158.860476
1.0,9,158.880489
-65.0,62,158.998711
-10.0,17,159.037884
-67.0,60,159.173359
-62.0,60,159.297737
-120.0,91,159.464583
-106.0,84,159.617651
-60.0,62,159.743117
-69.0,63,159.874929
-112.0,87,160.036635
-89.0,71,160.193077
-84.0,72,160.335014
-118.0,89,160.531869
-96.0,80,160.695306
-83.0,72,160.833609
-141.0,101,161.0255
-97.0,81,161.178239
1.0,9,161.199632
-191.0,127,161.398787
-84.0,70,161.52975
-105.0,79,161.670579
-92.0,76,163.233199
-121.0,91,163.390532
-86.0,75,163.566744
-93.0,78,163.696294
-129.0,97,163.874819
-75.0,67,164.007039
-81.0,72,164.163496
-112.0,86,164.325251
-90.0,76,164.471802
-74.0,69,164.599183
-82.0,73,164.750067
-66.0,64,164.904345
-114.0,89,165.069884
-63.0,59,165.187449
-115.0,90,165.346748
-84.0,73,165.493379
-39.0,49,165.583325
-64.0,64,165.695308
-96.0,76,165.854679
-106.0,83,165.997906
-83.0,72,166.162086
-111.0,81,166.31592
-100.0,80,166.514706
-99.0,74,166.690966
-78.0,70,166.843423
-136.0,97,167.030695
-70.0,67,167.160648
-101.0,80,168.791574
-64.0,62,168.915324
-40.0,53,169.019974
-108.0,85,169.178163
-96.0,81,169.358085
-74.0,67,169.492245
-92.0,75,169.688672
-110.0,88,169.914956
-81.0,68,170.051449
-127.0,94,170.21489
-95.0,74,170.350538
-71.0,66,170.484089
-94.0,77,170.646462
-97.0,78,170.817696
-97.0,76,170.986166
-88.0,75,171.122492
-98.0,77,171.326555
-50.0,58,171.465922
-74.0,65,171.593729
-77.0,67,171.728116
-154.0,111,172.050116
-47.0,41,172.149003
-129.0,95,172.361703
-50.0,52,172.458395
-134.0,94,172.630584
-95.0,77,172.771076
-44.0,51,172.876972
0.0,16,172.921284
-90.0,77,173.068897
-126.0,87,174.670618
-166.0,117,174.882562
-77.0,68,175.022715
-134.0,99,175.216215
-67.0,65,175.355705
-83.0,72,175.497763
-64.0,62,175.64503
-124.0,93,175.801562
-94.0,81,175.943278
