timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
1000,14,69.5,-89.78571428571429,-inf,3.488107681274414
2000,29,66.82758620689656,-85.89655172413794,-89.78571428571429,2.6888339519500732
3000,45,66.53333333333333,-84.97777777777777,-85.89655172413794,3.4188451766967773
4000,62,63.693548387096776,-80.7741935483871,-84.97777777777777,2.193094253540039
5000,78,64.0,-80.7051282051282,-80.7741935483871,3.4782750606536865
6000,94,63.255319148936174,-78.80851063829788,-80.7051282051282,2.054929733276367
7000,112,62.035714285714285,-75.84,-78.80851063829788,3.6434624195098877
8000,129,61.55813953488372,-72.9,-75.84,2.4926676750183105
9000,147,61.21768707482993,-70.2,-72.9,3.8073723316192627
10000,162,61.65432098765432,-71.92,-70.2,2.422799825668335
11000,178,61.651685393258425,-70.26,-70.2,4.090721130371094
12000,194,61.7319587628866,-70.76,-70.2,2.4771714210510254
13000,209,61.96650717703349,-72.07,-70.2,4.376580715179443
14000,225,62.11555555555555,-72.52,-70.2,2.3126537799835205
15000,240,62.24583333333333,-74.59,-70.2,3.471698522567749
16000,256,62.33203125,-74.04,-70.2,2.147522211074829
17000,271,62.53874538745387,-73.98,-70.2,4.106359243392944
18000,286,62.85314685314685,-75.93,-70.2,2.0316362380981445
19000,302,62.83112582781457,-75.53,-70.2,3.9957938194274902
20000,317,62.98738170347003,-75.13,-70.2,2.2306058406829834
21000,331,63.12990936555891,-76.38,-70.2,3.6663217544555664
22000,344,63.81976744186046,-79.53,-70.2,1.804384469985962
23000,360,63.855555555555554,-80.12,-70.2,4.0013203620910645
24000,374,64.16844919786097,-81.98,-70.2,2.087531328201294
25000,389,64.26221079691517,-80.75,-70.2,3.4461445808410645
26000,403,64.45409429280397,-83.3,-70.2,1.969308614730835
27000,416,64.76682692307692,-85.26,-70.2,3.303995132446289
28000,431,64.88631090487239,-85.62,-70.2,2.0722222328186035
29000,446,64.88565022421524,-82.38,-70.2,4.282675504684448
30000,461,65.04338394793926,-83.23,-70.2,2.3480405807495117
31000,475,65.10736842105263,-81.3,-70.2,3.404938220977783
32000,489,65.2678936605317,-82.88,-70.2,2.0186543464660645
33000,506,65.12845849802372,-80.14,-70.2,3.4072341918945312
34000,521,65.2130518234165,-79.59,-70.2,1.9210872650146484
35000,535,65.38130841121496,-79.93,-70.2,3.144038677215576
36000,550,65.4,-81.08,-70.2,1.885627031326294
37000,565,65.37522123893805,-79.72,-70.2,3.387003183364868
38000,578,65.60899653979239,-81.44,-70.2,2.1492741107940674
39000,595,65.46218487394958,-81.21,-70.2,3.4069936275482178
40000,611,65.41080196399345,-79.45,-70.2,2.1117870807647705
41000,625,65.5456,-78.87,-70.2,3.3357038497924805
42000,639,65.68231611893583,-79.41,-70.2,1.979752779006958
43000,654,65.71712538226299,-79.65,-70.2,2.056527853012085
44000,668,65.7994011976048,-81.06,-70.2,3.603153705596924
45000,683,65.88579795021963,-79.76,-70.2,1.995875597000122
46000,698,65.84240687679083,-80.25,-70.2,3.4166417121887207
47000,713,65.88639551192146,-81.74,-70.2,1.9381184577941895
48000,726,66.00964187327824,-81.9,-70.2,3.206179141998291
49000,739,66.19756427604871,-82.57,-70.2,1.8984706401824951
50000,753,66.37317397078353,-84.6,-70.2,3.2267539501190186
51000,767,66.46153846153847,-84.89,-70.2,1.8917872905731201
52000,780,66.63846153846154,-86.13,-70.2,3.383547782897949
53000,795,66.59874213836478,-85.44,-70.2,1.9496986865997314
54000,809,66.69097651421508,-86.07,-70.2,3.1294186115264893
55000,823,66.79708383961118,-88.27,-70.2,1.8437578678131104
56000,838,66.76968973747017,-84.45,-70.2,3.1728103160858154
57000,851,66.9153936545241,-84.11,-70.2,1.990187406539917
58000,864,67.07523148148148,-87.19,-70.2,3.284432888031006
59000,878,67.16514806378132,-86.65,-70.2,1.9780147075653076
60000,891,67.28395061728395,-87.16,-70.2,3.6007838249206543
61000,905,67.37790055248618,-88.72,-70.2,2.219254493713379
62000,918,67.48039215686275,-88.17,-70.2,3.3670334815979004
63000,931,67.6047261009667,-88.21,-70.2,1.9030249118804932
64000,946,67.6522198731501,-90.71,-70.2,3.423816442489624
65000,960,67.69166666666666,-88.88,-70.2,1.934492826461792
66000,975,67.68512820512821,-87.69,-70.2,3.612779378890991
67000,986,67.90669371196755,-90.87,-70.2,2.3279197216033936
68000,1000,67.962,-89.77,-70.2,3.7536301612854004
69000,1016,67.90354330708661,-86.95,-70.2,2.575174570083618
70000,1029,67.99028182701652,-86.9,-70.2,3.737311840057373
71000,1043,68.02972195589645,-86.92,-70.2,1.9353294372558594
72000,1058,68.0406427221172,-86.07,-70.2,3.773986339569092
73000,1072,68.05037313432835,-86.49,-70.2,1.9967551231384277
74000,1086,68.07550644567219,-83.32,-70.2,3.848759412765503
75000,1100,68.14090909090909,-83.58,-70.2,2.098681688308716
76000,1114,68.18850987432675,-85.73,-70.2,3.898735284805298
77000,1129,68.16829052258636,-83.86,-70.2,1.994863510131836
78000,1144,68.14947552447552,-82.63,-70.2,3.2826640605926514
79000,1159,68.12338222605695,-81.83,-70.2,2.1234095096588135
80000,1175,68.08425531914894,-80.99,-70.2,3.396801233291626
81000,1190,68.0546218487395,-79.56,-70.2,1.9078376293182373
82000,1204,68.08637873754152,-78.2,-70.2,3.228634834289551
83000,1219,68.0664479081214,-77.35,-70.2,1.849424123764038
84000,1234,68.0713128038898,-77.6,-70.2,3.2638323307037354
85000,1247,68.13071371291099,-80.37,-70.2,1.835268497467041
86000,1261,68.14115781126091,-80.51,-70.2,1.8773341178894043
87000,1274,68.23312401883831,-82.45,-70.2,3.4425477981567383
88000,1289,68.24127230411172,-84.44,-70.2,1.950758457183838
89000,1303,68.28242517267843,-85.2,-70.2,3.3947222232818604
90000,1318,68.26327769347496,-85.03,-70.2,1.9061462879180908
91000,1334,68.18215892053973,-83.32,-70.2,3.3695876598358154
92000,1349,68.16753150481838,-81.51,-70.2,1.9853274822235107
93000,1363,68.21203228173148,-81.75,-70.2,3.4299755096435547
94000,1376,68.27906976744185,-81.97,-70.2,2.004680871963501
95000,1390,68.30863309352517,-82.32,-70.2,3.9535512924194336
96000,1404,68.35042735042735,-82.7,-70.2,2.116738796234131
97000,1419,68.35729386892177,-83.23,-70.2,3.4126477241516113
98000,1433,68.37194696441033,-84.99,-70.2,2.0313072204589844
99000,1447,68.3939184519696,-86.17,-70.2,3.436781406402588
100000,1461,68.41820670773443,-85.76,-70.2,1.9335336685180664
