#{"t_start": 1748639345.9799001, "env_id": "Maze-v0"}
r,l,t
-52.0,13,8.062593
-53.0,11,8.079232
-86.0,16,8.09655
-46.0,11,8.10977
-38.0,10,8.126733
-50.0,13,8.140718
-44.0,10,8.152128
-59.0,14,8.169025
-48.0,13,8.186375
-92.0,18,8.208182
-49.0,13,8.226844
-42.0,11,8.241439
-52.0,13,8.259524
-53.0,13,8.280233
-50.0,11,8.295686
-32.0,11,8.3107
-63.0,14,8.329859
-96.0,19,8.361509
-32.0,10,8.376487
-45.0,13,8.398714
-70.0,15,8.42249
-42.0,11,8.438355
-42.0,13,8.458765
-46.0,14,8.482213
-66.0,14,8.501753
-56.0,13,8.521613
-54.0,12,8.537348
-58.0,12,8.553753
-51.0,13,8.569482
-58.0,13,8.585661
-65.0,13,8.604181
-64.0,15,8.622816
-63.0,14,8.638236
-60.0,14,8.655553
-66.0,14,8.671824
-54.0,13,8.686351
-57.0,14,8.701636
-56.0,14,8.71675
-50.0,13,8.746372
-44.0,11,8.76252
-41.0,13,8.790465
-72.0,14,8.81866
-70.0,14,8.849742
-34.0,12,8.868119
-46.0,11,8.886688
-68.0,14,10.546713
-48.0,12,10.567652
-70.0,14,10.586991
-56.0,12,10.614538
-36.0,11,10.639047
-48.0,12,10.660416
-56.0,13,10.681369
-46.0,12,10.698383
-61.0,14,10.714678
-18.0,11,10.733526
-54.0,11,10.747165
-64.0,11,10.759844
-44.0,12,10.776625
-58.0,13,10.793071
-52.0,13,10.815505
-49.0,11,10.827796
-37.0,12,10.846247
-45.0,14,10.867744
-45.0,14,10.883584
-66.0,14,10.903512
-56.0,12,10.927902
-52.0,11,10.946346
-55.0,13,10.967833
-43.0,12,10.984236
-42.0,11,10.999083
-34.0,13,11.027041
-66.0,16,11.05472
-38.0,11,11.072626
-60.0,14,11.099957
-74.0,17,11.125247
-65.0,15,11.143114
-50.0,14,11.162248
-33.0,10,11.173925
-44.0,14,11.190418
-32.0,14,11.205149
-62.0,14,11.223416
-60.0,14,11.238957
-42.0,15,11.256057
-52.0,13,11.272679
-90.0,16,11.295658
-65.0,14,11.31484
-40.0,12,11.336088
-62.0,14,11.362004
-51.0,13,11.382229
-64.0,14,11.410658
-44.0,12,11.425364
-36.0,11,11.438695
-101.0,20,11.461506
-52.0,12,11.476612
-46.0,11,11.493845
-42.0,10,11.515015
-36.0,10,11.535948
-48.0,11,11.551634
-44.0,13,11.575421
-37.0,12,11.594022
-41.0,12,11.612118
-50.0,12,11.631117
-63.0,14,11.653967
-71.0,14,11.714631
-53.0,11,11.748182
-84.0,17,11.770838
-76.0,14,11.792815
-46.0,12,11.808456
-50.0,12,11.824111
-72.0,15,11.842834
-43.0,11,11.860023
-34.0,10,11.872854
-44.0,13,11.894761
-55.0,12,11.913887
-53.0,13,11.930411
-43.0,13,11.952056
-58.0,12,11.99586
-46.0,12,12.010295
-35.0,12,12.024517
-39.0,13,12.038305
-73.0,16,12.056472
-50.0,12,12.069372
-58.0,11,12.082455
-33.0,11,12.102173
-36.0,11,12.119071
-73.0,17,12.144889
-65.0,15,12.165886
-46.0,11,12.181175
-38.0,13,12.197081
-30.0,12,12.21418
-40.0,12,12.229646
-58.0,13,12.244451
-76.0,15,12.263252
-73.0,17,12.286141
-45.0,12,12.301172
-63.0,18,12.326637
-67.0,18,12.34793
-39.0,11,12.363179
-44.0,12,12.377814
-54.0,14,12.405251
-62.0,15,12.427722
-38.0,11,12.439405
-26.0,12,12.454046
-39.0,12,12.466709
-38.0,12,12.479797
-59.0,13,12.496661
-50.0,14,12.518977
-75.0,16,12.545087
-62.0,15,12.568917
-41.0,15,12.596313
-70.0,14,12.619853
-93.0,17,12.646119
-58.0,12,12.670322
-41.0,12,12.693597
-33.0,11,12.709649
-80.0,16,12.729072
-68.0,16,12.747631
-65.0,16,12.764558
-14.0,11,12.776998
-35.0,15,12.796686
-56.0,12,12.812428
-64.0,13,12.828919
-33.0,12,12.841309
-46.0,13,12.861899
-32.0,14,12.878794
-52.0,12,12.893402
-53.0,13,12.906936
-47.0,12,12.919349
-65.0,15,12.935023
-55.0,14,12.949729
-63.0,14,12.967879
-71.0,14,12.986501
-63.0,15,13.004381
-34.0,11,13.022055
-55.0,12,13.037214
-59.0,15,13.059937
-46.0,13,13.077454
-30.0,12,13.091564
-70.0,15,13.111483
-20.0,10,13.122689
-43.0,14,13.138141
-65.0,16,13.15599
-25.0,12,13.17217
-71.0,16,13.191485
-51.0,16,13.209059
-46.0,13,13.222386
-46.0,13,13.241173
-44.0,13,13.261059
-61.0,11,13.27363
-59.0,13,13.287311
-70.0,14,13.317348
-29.0,10,13.33466
-44.0,11,13.353796
-35.0,10,13.374301
-36.0,14,13.398114
-44.0,13,13.418163
-76.0,14,13.436143
-45.0,13,13.453477
-66.0,13,13.467213
-56.0,14,13.484329
-64.0,13,13.499842
-17.0,13,13.527783
-53.0,14,14.958944
-43.0,11,14.971524
-30.0,11,14.983036
-53.0,14,14.998617
-49.0,14,15.013609
-45.0,14,15.033816
-57.0,13,15.051344
-61.0,16,15.07041
-58.0,14,15.087368
-37.0,11,15.101309
-51.0,11,15.117682
-64.0,16,15.136299
-56.0,13,15.154841
-42.0,12,15.173183
-43.0,12,15.191621
-50.0,15,15.229027
-48.0,12,15.24677
-40.0,12,15.264039
-47.0,14,15.284156
-39.0,13,15.303761
-23.0,13,15.32286
-58.0,14,15.362294
-37.0,10,15.389548
-54.0,14,15.424839
-57.0,15,15.456834
-31.0,13,15.506345
-32.0,10,15.520444
-70.0,17,15.537572
-64.0,15,15.554136
-42.0,12,15.566815
-40.0,13,15.581371
-40.0,13,15.598149
-41.0,12,15.614027
-28.0,11,15.62719
-55.0,19,15.672264
-35.0,10,15.698205
-25.0,10,15.726767
-55.0,15,15.75861
-64.0,15,15.782771
-34.0,11,15.794885
-45.0,13,15.808605
-47.0,10,15.819504
-48.0,13,15.835029
-62.0,16,15.851433
-44.0,15,15.868323
-53.0,12,15.880693
-34.0,11,15.892175
-50.0,13,15.905527
-53.0,13,15.919343
-40.0,12,15.931644
-50.0,12,15.943931
-39.0,12,15.956269
-62.0,13,15.971198
-49.0,13,16.02774
-58.0,13,16.069524
-65.0,15,16.107695
-40.0,11,16.133883
-76.0,16,16.166834
-46.0,12,16.183835
-36.0,11,16.195384
-66.0,17,16.212528
-38.0,13,16.225769
-45.0,13,16.238941
-50.0,11,16.250312
-40.0,14,16.268874
-31.0,10,16.28008
-68.0,15,16.312549
-56.0,13,16.32605
-43.0,13,16.343621
-46.0,15,16.387321
-46.0,12,16.41951
-24.0,10,16.443271
-17.0,12,16.469249
-58.0,15,16.497376
-38.0,11,16.517478
-32.0,10,16.538496
-42.0,12,16.56466
-58.0,14,16.591856
-30.0,12,16.606646
-54.0,13,16.621999
-39.0,13,16.635373
-53.0,12,16.650756
-74.0,16,16.66791
3.0,11,16.682108
-60.0,13,16.6978
-34.0,12,16.710345
-29.0,14,16.728464
-16.0,11,16.742241
-49.0,14,16.761192
-16.0,10,16.77314
-58.0,13,16.786829
-46.0,12,16.800567
-24.0,11,16.813857
