#{"t_start": 1748599542.8027062, "env_id": "Maze-v0"}
r,l,t
-16.0,16,41.387312
-22.0,12,41.451752
-15.0,15,41.536002
-12.0,12,41.597396
-21.0,11,41.650623
-19.0,19,41.754205
-14.0,14,41.819761
-13.0,13,41.888945
-16.0,16,41.962937
-17.0,19,42.090312
-18.0,18,42.175914
-16.0,16,42.28632
-24.0,14,42.361233
-15.0,15,42.439791
-17.0,17,42.512544
-25.0,15,42.616176
-21.0,21,42.717186
-14.0,14,42.792826
-21.0,21,42.885322
-22.0,22,42.999979
-16.0,16,43.089799
-14.0,14,43.154416
-14.0,14,43.230886
-29.0,29,43.425655
-17.0,17,43.568429
-26.0,16,43.694608
-24.0,14,43.805089
-26.0,16,43.92985
-32.0,22,44.082256
-27.0,17,44.207753
-18.0,20,44.319201
-15.0,15,44.462905
-19.0,18,44.590757
-22.0,19,44.737934
-18.0,18,44.887048
-32.0,22,45.0579
-20.0,20,45.185576
-20.0,20,45.321202
-17.0,17,45.402331
-10.0,10,45.462334
-24.0,24,45.576999
-20.0,20,45.685083
-25.0,15,45.766889
-26.0,16,45.866533
-17.0,17,45.950645
-17.0,17,46.059366
-13.0,13,46.155275
-20.0,20,46.27114
-21.0,21,46.414041
-18.0,18,46.524329
-19.0,19,46.634204
-15.0,15,46.702789
-15.0,15,46.783217
-16.0,16,46.884507
-17.0,17,46.963609
-30.0,20,47.102943
-32.0,22,47.213172
-16.0,16,47.284173
-15.0,14,47.36363
-23.0,13,47.436142
-29.0,19,47.52447
-16.0,16,47.621798
-17.0,17,47.711859
-26.0,16,47.786503
-20.0,20,51.846227
-14.0,14,51.911203
-16.0,16,52.023909
-15.0,15,52.098348
-24.0,16,52.186116
-13.0,13,52.252777
-15.0,15,52.354842
-18.0,18,52.478051
-17.0,14,52.595988
-19.0,19,52.735108
-19.0,18,52.864894
-17.0,17,52.99994
-26.0,16,53.109904
-18.0,18,53.20506
-14.0,14,53.271613
-21.0,21,53.388296
-13.0,13,53.488201
-27.0,17,53.585511
-30.0,20,53.687358
-14.0,14,53.776252
-32.0,22,53.917527
-30.0,20,54.023537
-22.0,22,54.143997
-24.0,14,54.227194
-16.0,16,54.301413
-15.0,15,54.398732
-14.0,14,54.478461
-16.0,16,54.552148
-18.0,18,54.649771
