#{"t_start": 1748499112.4644272, "env_id": "Maze-v0"}
r,l,t
-2495.0,14,10.624732
-2472.0,17,10.653444
-1558.0,12,10.676502
-2466.0,12,10.702617
-1264.0,10,10.725641
-2774.0,16,10.763106
-1277.0,13,10.790442
-670.0,10,10.811933
-1886.0,14,10.844002
-2492.0,16,10.874997
-2498.0,14,10.90067
-1570.0,13,10.923291
-1252.0,11,10.947243
-1254.0,11,10.966684
-1560.0,11,10.989107
-1847.0,10,11.011385
-3083.0,16,11.043419
-1281.0,12,11.064767
-2179.0,15,11.090567
-1858.0,12,11.117027
-2788.0,13,11.143875
-1558.0,12,11.168046
-1847.0,13,11.193345
-1267.0,12,11.215286
-3383.0,14,11.243608
-1905.0,15,11.26873
-1561.0,12,11.29529
-1868.0,13,11.321006
-1271.0,11,11.342908
-965.0,11,11.362053
-958.0,10,11.38911
-667.0,10,11.40768
-2814.0,18,11.441166
-3070.0,15,11.49876
-2483.0,14,11.528054
-1254.0,11,11.560835
-1563.0,12,11.591361
-3079.0,16,11.624204
-2752.0,15,11.661764
-2189.0,14,11.690294
-1262.0,13,11.713995
-1878.0,12,11.735461
-1563.0,14,11.762584
-1554.0,11,11.787231
-969.0,11,11.807969
-1872.0,14,11.83846
-2764.0,15,11.871048
-1856.0,13,11.897415
-362.0,10,11.916255
-1566.0,12,11.937284
-662.0,11,11.962961
-1269.0,11,11.986811
-2139.0,14,12.016264
-2178.0,14,12.042089
-2181.0,12,12.062797
-1266.0,11,12.085616
-2489.0,16,12.112385
-1567.0,13,12.132798
-1258.0,12,12.162713
-2458.0,15,12.198882
-957.0,11,12.221288
-1575.0,12,12.241419
-1575.0,12,12.264041
-2788.0,16,12.295013
-1580.0,13,12.327002
-1235.0,10,12.352367
-2477.0,14,12.377383
-2483.0,13,12.405409
-1261.0,10,14.162416
-1877.0,13,14.187134
-1270.0,12,14.210181
-1577.0,14,14.232919
-1571.0,13,14.258085
-2773.0,15,14.286566
-2169.0,14,14.311004
-1854.0,11,14.33585
-953.0,10,14.35426
-1268.0,13,14.378804
-2146.0,14,14.407854
-1261.0,10,14.428964
-2178.0,14,14.455244
-1571.0,13,14.479549
-964.0,12,14.506943
-358.0,10,14.526709
-364.0,10,14.543383
-1881.0,14,14.573505
-988.0,13,14.604028
-1552.0,12,14.659032
-959.0,10,14.679347
-1278.0,12,14.701637
-1852.0,12,14.744662
-1257.0,11,14.774284
-1268.0,13,14.80772
-1836.0,11,14.83385
-1875.0,14,14.857292
-1561.0,12,14.881796
-2499.0,18,14.915976
-2183.0,13,14.940198
-1261.0,12,14.961823
-1859.0,13,14.988183
-1286.0,14,15.010442
-941.0,10,15.029125
-1871.0,11,15.050813
-664.0,10,15.068352
-2479.0,14,15.101928
-1585.0,13,15.12574
-2478.0,12,15.150075
-1877.0,13,15.173098
-1577.0,11,15.191661
-1559.0,13,15.217176
-360.0,11,15.238054
-2202.0,15,15.266643
-1263.0,12,15.285927
-1546.0,12,15.319398
-2512.0,16,15.357595
-1880.0,13,15.397159
-658.0,10,15.420062
-1270.0,12,15.451025
-1262.0,11,15.470027
-672.0,12,15.489292
-1268.0,11,15.507776
-1285.0,13,15.529471
-2153.0,12,15.560719
-1883.0,14,15.593207
-971.0,11,15.618824
-2480.0,16,15.653803
-985.0,13,15.676249
-2779.0,15,15.705063
-2178.0,14,15.733584
-975.0,12,15.754964
-1239.0,11,15.785878
-2484.0,17,15.822722
-3066.0,14,15.857548
-653.0,10,15.886914
-661.0,10,15.912416
-1259.0,10,15.933192
-3074.0,16,15.968488
-2470.0,13,15.996581
-1863.0,14,16.023599
-2172.0,12,16.046522
-1285.0,13,16.068084
-970.0,13,16.088414
-1877.0,13,16.11375
-1585.0,13,16.138674
-650.0,10,16.1577
-1281.0,12,16.17831
-1267.0,12,16.198251
-2190.0,14,16.222163
-1250.0,10,16.243363
-1262.0,11,16.265346
-663.0,11,16.285487
-1565.0,13,16.310066
-2162.0,13,16.33389
-2474.0,13,16.362017
-950.0,10,16.383577
-1880.0,13,16.408165
-2479.0,13,16.428648
-975.0,12,16.450336
-1865.0,11,16.473703
-1575.0,12,16.496024
-1861.0,12,16.519042
-1548.0,11,16.539943
-1262.0,11,16.559645
-2181.0,12,16.581903
-2777.0,13,16.605231
-1255.0,12,16.639147
-676.0,12,16.661747
-358.0,10,16.67847
-2479.0,15,16.71376
-2185.0,15,16.739482
-1882.0,13,16.760339
-1271.0,13,16.78513
-1558.0,12,16.806535
-2466.0,14,16.832815
-1889.0,14,16.857411
-2185.0,13,16.88452
-967.0,10,16.903748
-346.0,10,16.922242
-960.0,11,16.942295
-957.0,11,16.965354
-1578.0,14,16.99357
-1537.0,12,17.019374
-1574.0,14,17.043619
-977.0,11,17.065485
-1871.0,14,17.089715
-1587.0,14,17.118498
-1874.0,11,17.14891
-1571.0,13,17.175338
-1261.0,12,17.196872
-370.0,10,17.213547
-942.0,10,17.236527
-961.0,12,17.258571
-984.0,12,17.279564
-966.0,11,17.301303
-1254.0,11,17.322198
-2178.0,14,17.346789
-1555.0,12,17.377399
-2507.0,17,17.413657
-2484.0,12,17.435286
-2451.0,14,17.476883
-350.0,10,17.497017
-664.0,10,17.515618
-958.0,12,17.539095
-2187.0,17,17.570919
-2496.0,17,17.599741
-1538.0,11,17.624649
-2812.0,19,17.655679
-966.0,11,17.674076
-661.0,12,17.695526
-2161.0,12,17.723404
-1885.0,13,17.752821
-1558.0,12,17.777275
-1262.0,11,17.798
-661.0,10,17.815388
-1273.0,12,17.835893
-1268.0,11,17.853464
-959.0,13,17.876279
-674.0,11,17.898815
-666.0,11,17.917974
-1568.0,11,17.944805
-660.0,11,17.968437
-1266.0,11,17.988756
-669.0,11,18.009448
-967.0,10,18.027174
-962.0,11,18.047881
-367.0,10,18.065604
-1862.0,13,18.092121
-2163.0,13,18.121374
-363.0,11,18.140879
-2182.0,13,18.165308
-371.0,11,18.182593
-1257.0,12,18.202869
-365.0,11,18.223479
-644.0,10,18.251566
-952.0,12,18.273375
-1568.0,11,20.070679
-3388.0,15,20.101493
-1291.0,13,20.121948
-1869.0,12,20.143392
-1581.0,14,20.168167
-3090.0,20,20.214804
-665.0,11,20.236198
-1879.0,15,20.265312
-353.0,10,20.284276
-345.0,10,20.313735
-1565.0,13,20.340319
-2176.0,15,20.37126
-2142.0,11,20.399109
-1562.0,10,20.4203
-978.0,12,20.440711
-363.0,11,20.461392
-1892.0,14,20.485593
-2171.0,14,20.50939
-665.0,11,20.529835
-1248.0,11,20.552451
-1874.0,13,20.574934
-657.0,11,20.594625
-1567.0,13,20.617131
-966.0,11,20.639259
-1270.0,12,20.66303
-1588.0,13,20.686919
-1269.0,11,20.708762
-55.0,10,20.727233
-2476.0,13,20.753106
-965.0,11,20.773021
-656.0,10,20.79353
-1266.0,12,20.823988
-984.0,12,20.853873
-974.0,13,20.881023
-1568.0,13,20.908985
-1888.0,13,20.932538
-1258.0,12,20.955422
-1288.0,13,20.983012
-664.0,10,21.003549
-1591.0,13,21.027589
-1260.0,12,21.048689
-3077.0,16,21.080179
-1878.0,14,21.110724
-953.0,10,21.129992
-1885.0,13,21.167406
-981.0,12,21.191819
-970.0,10,21.208985
-1570.0,15,21.234675
-1271.0,11,21.253428
-1579.0,13,21.275213
-1563.0,14,21.29997
-2155.0,14,21.332616
-1258.0,12,21.366873
-1267.0,12,21.397545
-1861.0,12,21.424253
-1571.0,13,21.451412
-1567.0,12,21.479921
-958.0,12,21.503986
-981.0,12,21.523847
-1570.0,12,21.551025
-670.0,10,21.573959
-953.0,10,21.596488
-1263.0,11,21.618396
-1277.0,13,21.644822
-966.0,11,21.667635
-1255.0,12,21.692171
-2779.0,18,21.723429
-2155.0,15,21.750038
-658.0,10,21.772872
-1862.0,13,21.812788
-635.0,10,21.834536
-945.0,11,21.854395
-985.0,13,21.875064
-2172.0,14,21.904848
-1879.0,13,21.931365
-2476.0,15,21.958313
-962.0,11,21.977458
-668.0,11,21.996275
-1862.0,13,22.020321
-1583.0,13,22.042512
-364.0,10,22.060204
-1278.0,12,22.081224
-1565.0,13,22.103716
-1269.0,12,22.1273
-969.0,12,22.149294
-1282.0,13,22.171592
-1860.0,14,22.199373
-64.0,10,22.220113
-671.0,11,22.238106
-1892.0,14,22.261848
-1278.0,14,22.288019
-647.0,10,22.312287
-962.0,11,22.332295
-1576.0,13,22.355708
-365.0,11,22.376627
-1898.0,14,22.402646
-59.0,10,22.422397
-650.0,10,22.445111
-1573.0,12,22.466819
-3092.0,16,22.49758
-636.0,10,22.517883
-960.0,11,22.538669
-2181.0,14,22.566061
-957.0,12,22.585884
-1883.0,14,22.607814
-1879.0,13,22.630423
-655.0,11,22.653227
-964.0,10,22.671706
-668.0,11,22.690913
-968.0,11,22.709548
-1584.0,14,22.735037
-654.0,10,22.755487
-2193.0,15,22.780675
-1551.0,11,22.803219
-961.0,12,22.824746
-968.0,13,22.852193
-371.0,11,22.884769
-684.0,12,22.908752
-965.0,11,22.931017
-970.0,10,22.947628
-1580.0,14,22.970837
-973.0,12,22.991504
-352.0,10,23.008949
-632.0,10,23.028837
-49.0,10,23.04933
-3087.0,17,23.095491
-962.0,11,23.116499
-3083.0,16,23.147346
-654.0,11,23.168561
-948.0,10,23.195673
-959.0,10,23.215119
-955.0,10,23.233531
-2170.0,13,23.255882
-348.0,10,23.276171
-1261.0,12,23.296835
-2476.0,15,23.330254
-1275.0,12,23.350535
-962.0,10,23.369038
-1582.0,13,23.389753
-1259.0,11,23.413766
-1266.0,11,23.447532
-1254.0,11,23.47775
-962.0,11,23.511628
-1249.0,12,23.537018
-1582.0,13,23.563063
-1258.0,12,23.585953
-1583.0,14,23.610575
-1281.0,14,23.637815
-948.0,11,23.666306
-1588.0,13,23.695125
-1277.0,11,23.717497
-967.0,10,23.738297
-2776.0,15,23.77921
