#{"t_start": 1748585258.5856512, "env_id": "Maze-v0"}
r,l,t
-19.0,19,2.859384
-29.0,19,3.065567
-21.0,21,3.300444
-28.0,18,3.438244
-25.0,15,3.600471
-27.0,17,3.753011
-29.0,19,3.914115
-39.0,29,4.150142
-24.0,14,4.279736
-19.0,19,4.4878
-28.0,18,4.624496
-31.0,21,4.814284
-17.0,17,5.007159
-13.0,13,5.14638
-23.0,13,5.287033
-31.0,21,5.477779
-33.0,23,5.676395
-21.0,21,5.865352
-21.0,21,6.099252
-22.0,22,6.320539
-28.0,18,6.495105
-30.0,20,6.68443
-21.0,21,6.89778
-35.0,25,7.134876
-14.0,14,7.294694
-26.0,16,7.477202
-29.0,19,7.689319
-28.0,20,7.884912
-22.0,12,8.03064
-33.0,23,8.264458
-22.0,22,8.478158
-38.0,28,8.774612
-30.0,30,9.079207
-26.0,16,9.232421
-36.0,26,9.487771
-16.0,16,9.652243
-26.0,16,9.788933
-33.0,23,9.98888
-26.0,16,10.148798
-30.0,20,10.332654
-22.0,22,10.524816
-34.0,24,10.76154
-19.0,19,10.950039
-26.0,16,11.116314
-24.0,14,11.221506
-24.0,14,11.379648
-29.0,19,11.580476
-26.0,16,11.734218
-30.0,20,11.933859
-29.0,19,12.122965
-24.0,14,12.285086
-40.0,30,12.61821
-28.0,18,12.806604
-28.0,18,12.946892
-25.0,15,13.1077
-30.0,20,13.310992
-28.0,18,13.4491
-38.0,28,13.69853
-27.0,17,13.866888
-17.0,17,14.050581
-28.0,18,14.1849
-35.0,25,14.463672
-13.0,13,14.558701
-27.0,27,14.813424
-18.0,20,14.976189
-49.0,39,15.337045
-29.0,19,15.524027
-31.0,31,15.806469
-13.0,13,15.937356
-29.0,19,16.136858
-14.0,14,16.2615
-27.0,17,16.462551
-25.0,15,16.625617
-31.0,21,16.846712
-23.0,23,17.090951
-17.0,17,17.272999
-33.0,23,17.477972
-25.0,15,17.632297
-39.0,29,17.962325
-17.0,17,18.143302
-27.0,17,18.303616
-23.0,23,18.570891
-34.0,24,18.821809
-22.0,12,18.957734
-32.0,22,19.115056
-32.0,22,19.324514
-26.0,16,19.461224
-30.0,20,19.669876
-31.0,21,19.880962
-17.0,17,20.060283
-20.0,20,20.269238
-9.0,8,20.337713
-25.0,15,20.489652
-26.0,16,20.665525
-20.0,20,20.882634
-11.0,11,21.029015
-23.0,13,21.173058
-22.0,12,21.287521
-22.0,22,21.46843
-25.0,15,21.582348
-32.0,22,21.778302
-30.0,20,21.950356
-34.0,24,22.211219
-17.0,17,22.398326
-19.0,19,22.556708
-31.0,21,22.724761
-30.0,20,28.95067
-32.0,22,29.134545
-23.0,13,29.256151
-27.0,17,29.446107
-24.0,14,29.60674
-26.0,16,29.750087
-30.0,20,29.954626
-21.0,11,30.042736
-29.0,19,30.206864
-27.0,17,30.404046
-30.0,20,30.622667
-30.0,20,30.843806
-23.0,13,30.939696
-34.0,24,31.121252
-22.0,12,31.209321
-26.0,16,31.376912
-28.0,18,31.535786
-19.0,19,31.741765
-19.0,19,31.963941
-40.0,30,32.270324
-16.0,16,32.450314
-13.0,13,32.560409
-26.0,16,32.722501
-23.0,13,32.858461
-14.0,13,32.969763
-27.0,17,33.163337
-31.0,21,33.378133
-22.0,12,33.501424
-25.0,15,33.64208
-19.0,19,33.846292
-24.0,14,33.98744
-16.0,15,34.135091
-35.0,25,34.379277
-27.0,17,34.568353
-33.0,23,34.77352
-21.0,11,34.884012
-16.0,16,35.012654
-16.0,16,35.192842
-23.0,13,35.341526
-30.0,20,35.55565
-28.0,18,35.7459
-28.0,18,35.923028
-35.0,25,36.131105
-21.0,11,36.219677
-16.0,16,36.402015
-26.0,16,36.520303
-22.0,22,36.721915
-39.0,31,37.047358
-26.0,16,37.189826
-26.0,26,37.42824
-29.0,19,37.611503
-32.0,22,37.828863
-24.0,14,37.977876
-16.0,16,38.092654
-28.0,20,38.270267
-23.0,13,38.402259
-23.0,13,38.565313
-12.0,14,38.719983
-33.0,23,38.887125
-30.0,20,39.069887
-29.0,19,39.2298
-24.0,14,39.362388
-28.0,18,39.485532
-18.0,18,39.686364
-19.0,19,39.886487
-40.0,30,40.13966
-32.0,22,40.324897
-27.0,17,40.466051
-26.0,16,40.656754
-32.0,22,40.89606
-25.0,15,41.061275
-18.0,18,41.244779
-15.0,15,41.380141
-30.0,20,41.557028
-31.0,21,41.7649
-25.0,15,41.88121
-26.0,26,42.148969
-16.0,16,42.330299
-18.0,18,42.517399
-30.0,30,42.81991
-25.0,15,43.005043
-38.0,28,43.30094
-19.0,19,43.455018
-21.0,11,43.579694
-23.0,13,43.699147
-22.0,22,43.947366
-39.0,29,44.234504
-25.0,15,44.38565
-22.0,22,44.571793
-27.0,17,44.691768
-22.0,12,44.855958
-26.0,16,45.017149
-36.0,26,45.294421
-38.0,28,45.584829
-32.0,22,45.80907
-24.0,14,45.924626
-18.0,18,46.089267
-23.0,23,46.332662
-26.0,16,46.524517
-28.0,18,46.713553
-33.0,23,46.95019
-20.0,20,47.175095
-14.0,14,47.337965
-30.0,20,47.521025
-26.0,16,47.683485
-25.0,25,47.931937
-31.0,21,48.129987
-22.0,12,48.242458
-30.0,30,48.568329
-32.0,22,48.805531
-32.0,22,54.843864
-26.0,16,55.020737
-13.0,12,55.156051
-15.0,15,55.321667
-36.0,26,55.601194
-15.0,15,55.769861
-19.0,19,55.933169
-27.0,17,56.070897
-14.0,16,56.223128
-24.0,14,56.324647
-16.0,18,56.464763
-25.0,15,56.586272
-24.0,14,56.71823
-25.0,15,56.872451
-29.0,19,57.010717
-32.0,22,57.258502
-24.0,14,57.39653
-25.0,15,57.557689
-31.0,21,57.76413
-17.0,17,57.939381
-27.0,17,58.097631
-17.0,17,58.241519
-33.0,23,58.467578
-31.0,21,58.694005
-22.0,12,58.829726
-19.0,19,59.020316
-29.0,19,59.154859
-24.0,24,59.384681
-23.0,23,59.664025
-26.0,16,59.796897
-26.0,16,59.915343
-23.0,13,60.01202
-26.0,16,60.145677
-16.0,16,60.274887
-24.0,24,60.512371
-26.0,16,60.697226
-30.0,20,60.930372
-20.0,22,61.138418
-15.0,15,61.308591
-25.0,15,61.453404
-26.0,16,61.616324
