#{"t_start": 1748637845.9385486, "env_id": "Maze-v0"}
r,l,t
-80.0,17,1.525219
-31.0,11,1.548236
-56.0,13,1.576116
-36.0,11,1.599747
-39.0,12,1.624851
-63.0,15,1.659821
-48.0,13,1.683896
-61.0,12,1.709425
-74.0,14,1.741418
-56.0,13,1.787265
-60.0,13,1.821329
-58.0,13,1.848026
-62.0,15,1.879747
-67.0,13,1.906676
-60.0,15,1.932682
-66.0,15,1.963908
-48.0,14,1.997583
-66.0,14,2.026494
-44.0,12,2.051428
-52.0,15,2.081955
-80.0,15,2.116167
-78.0,14,2.147934
-51.0,14,2.181553
-59.0,13,2.209264
-43.0,10,2.238992
-37.0,11,2.262737
-107.0,21,2.304231
-48.0,12,2.329346
-57.0,13,2.354378
-62.0,14,2.381093
-55.0,13,2.404385
-75.0,16,2.456325
-56.0,14,2.481198
-39.0,11,2.499533
-37.0,10,2.519795
-69.0,14,2.548924
-48.0,12,2.573985
-46.0,11,2.59714
-52.0,12,2.622085
-48.0,12,2.648713
-79.0,16,2.681489
-58.0,13,2.710691
-40.0,11,2.734245
-70.0,15,2.765102
-47.0,12,2.790756
-81.0,17,2.823688
-52.0,12,2.843037
-48.0,12,2.862264
-63.0,13,2.88407
-37.0,13,2.905535
-65.0,13,2.926542
-58.0,12,2.952922
-58.0,13,2.977849
-67.0,13,2.999554
-75.0,14,3.024107
-56.0,11,3.050089
-74.0,15,3.07482
-44.0,12,3.094092
-38.0,11,3.120527
-38.0,11,3.139173
-48.0,13,3.165919
-58.0,12,3.186175
-56.0,12,3.209024
-64.0,16,3.238772
-42.0,12,3.259364
-74.0,16,3.301402
-31.0,11,3.325163
-78.0,16,3.358141
-48.0,13,3.386086
-64.0,13,3.40674
-61.0,13,3.430187
-70.0,15,3.454308
-52.0,13,3.478874
-69.0,17,3.530127
-87.0,17,3.571116
-61.0,14,3.675179
-62.0,12,3.701614
-60.0,13,3.725487
-61.0,14,3.751932
-54.0,12,3.771636
-65.0,14,3.795713
-58.0,11,3.813525
-61.0,13,3.837997
-53.0,13,3.859849
-53.0,14,3.883657
-41.0,12,3.90659
-58.0,11,3.928391
-57.0,15,3.952816
-58.0,12,3.974804
-44.0,13,3.997467
-32.0,13,4.018633
-48.0,12,4.043647
-77.0,16,4.072814
-56.0,13,4.10822
-70.0,14,4.13799
-50.0,10,4.154004
-42.0,10,4.17038
-54.0,11,4.189635
-63.0,13,4.213627
-66.0,13,4.236115
-42.0,12,4.259141
-64.0,15,4.283711
-56.0,13,4.315541
-42.0,12,4.348611
-62.0,13,4.384867
-67.0,16,4.42893
-43.0,12,4.466816
-57.0,13,4.499775
-62.0,12,4.519287
-58.0,15,4.543006
-62.0,13,4.56331
-52.0,15,4.588422
-38.0,12,4.607697
-34.0,11,4.628931
-88.0,16,4.672376
-63.0,15,4.712276
-60.0,12,4.746465
-52.0,12,4.781751
-75.0,16,4.834016
-56.0,11,4.865413
-68.0,15,4.906913
-56.0,12,4.943525
-89.0,17,4.994717
-74.0,14,5.026668
-75.0,15,5.054688
