#{"t_start": 1748595609.726221, "env_id": "Maze-v0"}
r,l,t
-6.0,12,2.843296
-18.0,18,2.95469
-14.0,16,3.067915
-42.0,30,3.25999
-10.0,14,3.352012
-12.0,15,3.443476
-44.0,26,3.562155
-32.0,21,3.684557
-38.0,24,3.826338
-20.0,19,3.915121
-6.0,12,3.994231
-18.0,18,4.111605
-28.0,22,4.261214
-30.0,24,4.409255
-6.0,13,4.502997
-32.0,20,4.629381
-32.0,24,4.75585
-18.0,18,4.861277
-26.0,17,4.942684
-30.0,24,5.083071
-18.0,17,5.195956
-14.0,17,5.304224
-14.0,15,5.403129
-38.0,26,5.581803
-36.0,21,5.721705
-42.0,28,5.871601
-40.0,25,6.027813
-24.0,21,6.156517
-18.0,17,6.239205
-22.0,16,6.310378
-12.0,16,6.411851
-8.0,13,6.509214
-24.0,16,6.612001
-8.0,13,6.675278
-22.0,20,6.795544
-26.0,21,6.90308
-38.0,23,7.056263
-26.0,21,7.187483
-20.0,18,7.315793
-18.0,16,7.445498
-18.0,18,7.546028
-28.0,22,7.672975
-14.0,17,7.747833
-26.0,21,7.843002
-20.0,19,7.928756
-10.0,14,8.015029
-38.0,25,8.139459
-48.0,27,8.300259
-22.0,15,8.417338
-22.0,15,8.5189
-18.0,17,8.629403
-30.0,24,8.810803
-30.0,18,8.917294
-16.0,17,9.024783
-14.0,15,9.118054
-22.0,18,9.237883
-26.0,21,9.363209
-14.0,17,9.484598
-14.0,15,9.555034
-10.0,15,9.641637
-24.0,21,9.780765
-28.0,23,9.915885
-16.0,18,10.016843
-32.0,21,10.142037
-20.0,18,10.253075
-10.0,14,10.342734
-30.0,25,10.471611
-28.0,22,10.584225
-22.0,20,10.720184
-33.0,25,10.876365
-24.0,16,10.98942
-24.0,21,11.098646
-28.0,23,11.254985
-22.0,20,11.402716
-20.0,18,11.537478
-34.0,25,11.70735
-32.0,25,11.84247
-20.0,17,11.92975
-20.0,19,12.014407
-26.0,22,12.15888
-18.0,19,12.262292
-22.0,20,12.380918
-24.0,21,12.507749
-12.0,14,12.596374
-32.0,24,12.741658
-16.0,18,12.875129
-24.0,20,13.019547
-8.0,13,13.09113
-40.0,28,13.268244
-14.0,17,13.393161
-28.0,19,13.557831
-17.0,14,13.628637
-26.0,17,13.708095
-24.0,21,13.834718
-28.0,18,13.954888
-20.0,19,14.085717
-24.0,17,14.207941
-26.0,18,14.316223
-14.0,16,14.421838
-32.0,24,14.563738
-30.0,25,14.723897
-28.0,23,14.886515
-16.0,16,14.986867
-14.0,16,15.105183
-14.0,16,15.187742
-16.0,16,15.305591
-24.0,21,20.008608
-26.0,22,20.150314
-24.0,17,20.249658
-26.0,17,20.351983
-10.0,14,20.442562
-20.0,19,20.554243
-14.0,17,20.669712
-10.0,14,20.765681
-16.0,17,20.84256
-12.0,15,20.933825
-10.0,15,21.03308
-16.0,17,21.146772
-18.0,19,21.270538
-26.0,21,21.370043
-26.0,23,21.479484
-16.0,17,21.558158
-32.0,21,21.668538
-18.0,17,21.760679
-26.0,22,21.859602
-38.0,27,22.031138
-12.0,15,22.133398
-18.0,18,22.250428
-16.0,16,22.355962
-28.0,22,22.50152
-16.0,16,22.602077
-18.0,17,22.719814
-12.0,16,22.821462
-28.0,23,22.962613
-12.0,15,23.070989
-34.0,22,23.2103
-36.0,27,23.373988
-26.0,21,23.514273
-30.0,23,23.65219
-24.0,20,23.769894
-22.0,20,23.898896
-18.0,18,24.046172
-18.0,18,24.167659
-22.0,20,24.287851
-18.0,18,24.389982
-20.0,15,24.481916
-22.0,19,24.598231
-30.0,24,24.746417
-16.0,17,24.855154
-10.0,13,24.945736
-18.0,14,25.054491
-10.0,13,25.140968
-4.0,11,25.213199
-38.0,23,25.325098
-12.0,15,25.415496
-34.0,25,25.572892
-8.0,14,25.658937
-40.0,25,25.840807
-22.0,16,25.945848
-34.0,26,26.069522
-18.0,14,26.131434
-24.0,16,26.233817
-14.0,17,26.346345
-14.0,16,26.447493
-12.0,15,26.550166
-10.0,14,26.625445
-14.0,15,26.715681
-12.0,14,26.812282
-30.0,20,26.942173
-6.0,12,27.018206
-20.0,18,27.149099
-32.0,20,27.277688
-16.0,18,27.389579
-24.0,17,27.493818
-4.0,11,27.572123
-26.0,18,27.680711
-22.0,18,27.779537
-14.0,17,27.88411
-4.0,12,27.968142
-14.0,17,28.083263
-15.0,15,28.15961
-32.0,25,28.305707
-18.0,19,28.412747
-10.0,15,28.492882
-24.0,21,28.594137
-20.0,20,28.715695
-24.0,21,28.852813
-12.0,16,28.955771
-18.0,12,29.050342
-12.0,16,29.143556
-20.0,19,29.270597
-10.0,14,29.36516
-14.0,16,29.484556
-14.0,14,29.585962
-32.0,20,29.686171
-28.0,17,29.792348
-14.0,15,29.872181
-12.0,16,29.959232
-26.0,21,30.092231
-28.0,18,30.203387
-10.0,14,30.289436
-22.0,20,30.406871
-18.0,16,30.500498
-12.0,15,30.611243
-24.0,16,30.709059
-34.0,21,30.835715
-12.0,14,30.930241
-14.0,16,31.046259
-22.0,19,31.155687
-18.0,18,31.289686
-12.0,14,31.388151
-20.0,14,31.473017
-32.0,21,31.592227
-20.0,20,31.691925
-34.0,22,31.837519
-16.0,18,31.942311
-22.0,21,32.103643
-24.0,22,32.224397
-16.0,17,32.339081
-22.0,16,32.446337
-18.0,19,32.565408
-16.0,18,36.932001
-6.0,11,37.014197
-22.0,15,37.101764
-16.0,12,37.179047
-12.0,15,37.282797
-12.0,15,37.361343
-26.0,17,37.457963
-12.0,16,37.569915
-12.0,14,37.674798
-10.0,15,37.772828
-12.0,11,37.838986
-18.0,19,37.958114
-20.0,15,38.057278
-12.0,16,38.149521
-10.0,14,38.233229
-28.0,24,38.391808
-16.0,16,38.488314
-6.0,13,38.566272
-22.0,21,38.660237
-14.0,17,38.759197
-12.0,15,38.866194
-10.0,14,38.954081
-16.0,17,39.075875
-6.0,12,39.150984
-10.0,15,39.240551
-10.0,13,39.32838
-20.0,20,39.446743
-22.0,16,39.555793
-26.0,23,39.714571
-22.0,16,39.833462
-8.0,14,39.913815
-18.0,17,40.033785
-46.0,28,40.193325
-18.0,18,40.271495
0.0,10,40.326072
-6.0,12,40.412084
-6.0,12,40.499105
-8.0,14,40.60463
-16.0,13,40.699128
-2.0,10,40.770305
-20.0,15,40.878946
-22.0,15,40.978554
-12.0,14,41.069155
-16.0,13,41.153438
-26.0,18,41.256382
-24.0,21,41.374927
-12.0,15,41.481325
-14.0,16,41.581316
-28.0,19,41.665623
-20.0,19,41.796347
-20.0,18,41.929028
-20.0,18,42.039399
-22.0,15,42.130607
-30.0,23,42.278739
-6.0,13,42.348509
-14.0,15,42.443369
-9.0,14,42.531313
-8.0,14,42.649892
-6.0,12,42.730161
-24.0,16,42.832023
-14.0,16,42.934351
-28.0,18,43.064703
-12.0,16,43.162707
-22.0,16,43.267867
-4.0,12,43.347807
-10.0,15,43.446718
-20.0,15,43.553183
-24.0,21,43.688598
-12.0,14,43.769677
-8.0,13,43.852864
-4.0,11,43.932966
-14.0,16,44.02505
-7.0,11,44.0782
-4.0,12,44.168444
-14.0,16,44.279601
-2.0,11,44.363439
-26.0,23,44.523059
-24.0,21,44.643682
-14.0,12,44.710636
-36.0,21,44.835175
-10.0,14,44.91939
-24.0,20,45.009082
-10.0,14,45.072586
-28.0,19,45.190236
-4.0,12,45.273972
-30.0,19,45.383019
-6.0,12,45.468099
-16.0,17,45.577998
-10.0,15,45.69068
-8.0,13,45.80511
-16.0,17,45.922826
-18.0,18,46.062036
-10.0,13,46.152625
-6.0,12,46.218251
-16.0,18,46.322072
-8.0,13,46.394494
-20.0,15,46.479691
-18.0,14,46.545159
-8.0,14,46.637729
-12.0,16,46.729949
-2.0,11,46.808279
-8.0,13,46.895831
-14.0,15,46.9948
-12.0,15,47.096326
-8.0,14,47.18185
-8.0,14,47.273772
-18.0,14,47.362799
