#{"t_start": 1748556406.3037486, "env_id": "Maze-v0"}
r,l,t
-229.0,11,2.311791
-205.0,12,2.331972
-251.0,12,2.356954
-475.0,19,2.392906
-306.0,15,2.43549
-363.0,17,2.471574
-277.0,14,2.494722
-425.0,16,2.522811
-227.0,11,2.548577
-365.0,16,2.587278
-112.0,11,2.609485
-231.0,12,2.632228
-294.0,12,2.651714
-434.0,16,2.677107
-253.0,13,2.703389
-204.0,12,2.727248
-135.0,10,2.743663
-293.0,13,2.764995
-306.0,14,2.788437
-176.0,12,2.807607
-376.0,17,2.83472
-194.0,10,2.853134
-413.0,18,2.893099
-362.0,14,2.92173
-323.0,15,2.950285
-318.0,13,2.977823
-220.0,12,2.998673
-233.0,12,3.018582
-133.0,11,3.038888
-350.0,13,3.064602
-260.0,14,3.093944
-463.0,17,3.120213
-164.0,11,3.13862
-295.0,13,3.159617
-340.0,15,3.185834
-360.0,13,3.208719
-136.0,10,3.224902
-130.0,10,3.241168
-170.0,11,3.258967
-231.0,13,3.281092
-211.0,12,3.30678
-243.0,13,3.328264
-131.0,10,3.345425
-418.0,15,3.369215
-226.0,11,3.388513
-373.0,17,3.41624
-374.0,16,3.442082
-191.0,10,3.462122
-395.0,14,3.484551
-260.0,12,3.503956
-305.0,14,3.527915
-287.0,12,3.553153
-453.0,15,3.581689
-228.0,12,3.601835
-298.0,14,3.627088
-205.0,13,3.649033
-299.0,13,3.6722
-401.0,16,3.697583
-203.0,12,3.718446
-332.0,13,3.739704
-375.0,16,3.766175
-202.0,11,3.784447
-196.0,10,3.802336
-255.0,12,3.826903
-207.0,13,3.849427
-179.0,13,3.870399
-292.0,12,3.891095
-246.0,15,3.918824
-230.0,11,3.938977
-282.0,15,3.962743
-364.0,15,3.991259
-335.0,14,4.014879
-261.0,13,4.039013
-274.0,14,4.061756
-299.0,13,4.083578
-198.0,11,4.101123
-265.0,13,4.123826
-303.0,13,4.146178
-239.0,13,4.166696
-243.0,15,4.191997
-271.0,13,4.214059
-381.0,17,4.240334
-516.0,21,4.274743
-199.0,12,4.296354
-528.0,18,4.326245
-298.0,13,4.34727
-278.0,15,4.373818
-243.0,14,4.396184
-134.0,11,4.413549
-271.0,15,4.443725
-171.0,11,4.462327
-273.0,14,4.48537
-176.0,13,4.508654
-203.0,13,4.531269
-300.0,13,4.553596
-510.0,19,4.584724
-277.0,14,4.607799
-313.0,16,4.634069
-435.0,17,4.660785
-195.0,11,4.679897
-361.0,15,4.708923
-232.0,12,4.730013
-240.0,13,4.752193
-224.0,11,4.770277
-268.0,13,4.792043
-332.0,14,4.81543
-305.0,14,4.837916
-207.0,12,4.857733
-135.0,10,4.873484
-297.0,14,4.898008
-333.0,14,4.920464
-203.0,12,4.941718
-372.0,15,4.965814
-258.0,11,4.983691
-310.0,15,5.006986
-298.0,14,5.034089
-466.0,17,5.063092
-281.0,16,5.088775
-362.0,14,5.112125
-140.0,11,5.129413
-176.0,12,5.148249
-327.0,13,5.169631
-202.0,12,5.191754
-206.0,13,5.214086
-170.0,12,5.233292
-177.0,12,5.251884
-327.0,13,5.275849
-263.0,13,5.297673
-205.0,12,5.316475
-244.0,14,5.338229
-194.0,12,5.359173
-271.0,13,5.37955
-176.0,12,5.398917
-235.0,12,5.418202
-174.0,12,5.438116
-309.0,15,5.464406
-230.0,12,5.485106
-230.0,11,5.502603
-279.0,13,5.534782
-207.0,13,5.561638
-79.0,10,5.579226
-261.0,13,5.601266
-234.0,12,5.620755
-306.0,14,5.643087
-276.0,14,5.666696
-226.0,10,5.684133
-317.0,16,5.710115
-223.0,10,5.726721
-171.0,11,5.744097
-375.0,17,5.775517
-254.0,10,5.79219
-270.0,13,5.813071
-241.0,14,5.835004
-306.0,14,5.856897
-190.0,10,7.889946
-142.0,11,7.907511
-235.0,13,7.927942
-228.0,11,7.9482
-266.0,14,7.97528
-240.0,14,7.998745
-137.0,10,8.015382
-313.0,16,8.040271
-135.0,10,8.056462
-168.0,11,8.075436
-174.0,12,8.094253
-165.0,11,8.112007
-207.0,12,8.131472
-297.0,14,8.156289
-270.0,13,8.178287
-135.0,10,8.196683
-204.0,12,8.216697
-205.0,12,8.236094
-371.0,16,8.261087
-109.0,10,8.277252
-282.0,15,8.301979
-352.0,15,8.332946
-197.0,10,8.34913
-196.0,11,8.368472
-169.0,11,8.386143
-376.0,18,8.416559
-277.0,14,8.439713
-268.0,14,8.464957
-302.0,14,8.489756
-239.0,12,8.511563
-172.0,11,8.529677
-343.0,16,8.556571
-167.0,11,8.57705
-398.0,17,8.606936
-106.0,10,8.623502
-180.0,13,8.643551
-197.0,11,8.66467
-273.0,13,8.685608
-265.0,12,8.704948
-370.0,15,8.730228
-435.0,16,8.757041
-237.0,13,8.779616
-268.0,14,8.802828
-305.0,14,8.827368
-393.0,16,8.854572
-244.0,13,8.87545
-308.0,15,8.898805
-303.0,14,8.921009
