#{"t_start": 1748600491.2104425, "env_id": "Maze-v0"}
r,l,t
-38.0,28,3.837612
-26.0,16,4.027342
-15.0,15,4.188631
-33.0,23,4.410165
-27.0,17,4.588341
-23.0,15,4.737399
-30.0,20,4.939205
-27.0,17,5.113181
-29.0,19,5.319287
-31.0,21,5.515057
-35.0,25,5.726411
-31.0,21,5.908228
-24.0,14,6.028485
-17.0,17,6.192838
-27.0,17,6.38172
-26.0,16,6.551627
-20.0,20,6.728833
-28.0,18,6.863246
-26.0,16,7.009525
-27.0,17,7.242468
-22.0,22,7.44471
-26.0,16,7.583844
-24.0,14,7.701566
-36.0,26,7.965482
-38.0,28,8.220891
-37.0,27,8.507592
-37.0,27,8.749692
-38.0,28,9.009332
-14.0,14,9.14073
-33.0,23,9.320385
-26.0,16,9.494975
-25.0,25,9.714603
-31.0,21,9.906071
-28.0,18,10.070859
-18.0,18,10.219847
-29.0,19,10.410166
-28.0,18,10.560362
-32.0,22,10.75331
-24.0,14,10.910549
-25.0,15,11.093933
-12.0,12,11.201177
-29.0,19,11.421254
-27.0,17,11.605099
-26.0,16,11.830935
-25.0,15,12.005329
-29.0,19,12.211563
-25.0,15,12.393641
-27.0,17,12.592144
-22.0,22,12.89198
-30.0,20,13.163506
-23.0,23,13.477048
-24.0,14,13.60409
-32.0,22,13.852789
-34.0,24,14.125273
-21.0,11,14.257247
-33.0,23,14.581304
-20.0,22,14.815038
-15.0,15,14.951672
-28.0,18,15.157225
-18.0,18,15.383297
-25.0,15,15.54297
-33.0,23,15.775086
-38.0,28,16.022334
-31.0,21,16.272521
-33.0,23,16.527979
-29.0,19,16.706924
-36.0,26,16.929142
-31.0,21,17.169284
-25.0,15,17.353673
-14.0,14,17.501822
-14.0,14,17.647161
-23.0,23,17.911062
-29.0,19,18.19042
-31.0,21,18.47396
-36.0,26,18.778627
-29.0,19,19.022164
-27.0,17,19.20093
-22.0,12,19.324581
-18.0,18,19.579665
-38.0,28,19.948629
-34.0,24,20.246959
-27.0,17,20.4133
-34.0,24,20.626615
-29.0,19,20.814225
-38.0,28,21.067082
-27.0,17,21.274698
-32.0,22,21.46847
-15.0,15,21.594277
-32.0,22,21.776749
-18.0,18,21.975589
-29.0,19,22.169271
-26.0,16,22.357941
-27.0,17,22.516189
-17.0,17,22.652641
-19.0,19,22.833905
-23.0,13,22.964802
-27.0,27,23.272973
-27.0,17,23.446281
-25.0,15,23.627482
-26.0,26,23.936807
