#{"t_start": 1748604120.4119112, "env_id": "Maze-v0"}
r,l,t
-24.0,24,3.023685
-21.0,21,3.194983
-23.0,23,3.365887
-20.0,20,3.508938
-20.0,20,3.647608
-69.0,25,3.827081
-19.0,19,3.962733
-23.0,23,4.128331
-79.0,24,4.256346
-49.0,16,4.33586
-19.0,19,4.449428
-151.0,19,4.563655
-130.0,20,4.679211
-26.0,26,4.840846
-16.0,16,4.939621
-26.0,26,5.068456
-25.0,25,5.192877
-19.0,19,5.29817
-172.0,18,5.449204
-23.0,23,5.559296
-23.0,23,5.668373
-21.0,21,5.784585
-20.0,20,5.903358
-20.0,20,6.0214
-29.0,18,6.119973
-13.0,13,6.187061
-28.0,28,6.326415
-18.0,18,6.406798
-142.0,21,6.533617
-16.0,16,6.641894
-29.0,29,6.802784
-18.0,18,6.898301
-26.0,26,7.029919
-60.0,16,7.146278
-22.0,22,7.282805
-17.0,17,7.396506
-15.0,15,7.471107
-18.0,18,7.639781
-14.0,14,7.719556
-14.0,14,7.800918
-17.0,17,7.884425
-74.0,19,8.003105
-30.0,30,8.178197
-37.0,37,8.388382
-25.0,25,8.53157
-33.0,33,8.708811
-19.0,19,8.807905
-16.0,16,8.937842
-69.0,14,9.033105
-20.0,20,9.16947
-12.0,12,9.255063
-17.0,17,9.338542
-15.0,15,9.407703
-23.0,12,9.465165
-19.0,19,9.567179
-23.0,23,9.684909
-25.0,25,9.839456
-19.0,19,9.957366
-26.0,15,10.050049
-16.0,16,10.14465
-20.0,20,10.281868
-26.0,15,10.374642
-15.0,15,10.457326
-19.0,19,10.567786
-20.0,20,10.694435
-80.0,25,10.871428
-18.0,18,10.983556
-40.0,29,11.173803
-19.0,19,11.303281
-18.0,18,11.403733
-14.0,14,11.498169
-19.0,19,11.638041
-127.0,17,11.758614
-19.0,19,11.888491
-19.0,19,12.028895
-22.0,22,12.174727
-26.0,26,12.336824
-12.0,12,12.420141
-29.0,29,12.593059
-23.0,23,12.761709
-18.0,18,12.893471
-15.0,15,12.990441
-14.0,14,13.08826
-18.0,18,13.198928
-23.0,23,13.354783
-21.0,21,13.500303
-12.0,12,13.584315
-19.0,19,13.71969
-32.0,21,13.86938
-23.0,23,14.030317
-23.0,23,14.182141
-72.0,17,14.298001
-20.0,20,14.434034
-23.0,23,14.612675
-25.0,25,14.780633
-17.0,17,14.911167
-11.0,11,14.970141
-20.0,20,15.081835
-18.0,18,15.192273
-83.0,17,15.327898
-14.0,14,15.454273
-21.0,21,15.568536
-27.0,27,20.129516
-87.0,21,20.257285
-20.0,20,20.376027
-13.0,13,20.454206
-42.0,31,20.61623
-15.0,15,20.70439
-24.0,24,20.851269
-20.0,20,20.955646
-17.0,17,21.07831
-72.0,17,21.203144
-24.0,24,21.339533
-77.0,22,21.474257
-58.0,14,21.574905
-18.0,18,21.712929
-15.0,15,21.818236
-21.0,21,21.979449
-41.0,30,22.169929
-15.0,15,22.295805
-21.0,21,22.444648
-54.0,21,22.552404
-12.0,12,22.62446
-24.0,24,22.762666
-29.0,29,22.963205
-17.0,17,23.08543
-18.0,18,23.21463
-28.0,28,23.40796
-21.0,21,23.559786
-22.0,22,23.685158
-60.0,27,23.88338
-17.0,17,24.00987
-21.0,21,24.160488
-20.0,20,24.313137
-29.0,29,24.495383
-22.0,22,24.622067
-16.0,16,24.721658
-20.0,20,24.828825
-90.0,24,24.963381
-18.0,18,25.078595
-111.0,12,25.166292
-18.0,18,25.258406
-18.0,18,25.385987
-19.0,19,25.514829
-20.0,20,25.65477
-27.0,27,25.84159
-29.0,29,26.012483
-32.0,32,26.202561
-11.0,11,26.281455
-24.0,24,26.405408
-21.0,21,26.54351
-23.0,23,26.710913
-22.0,22,26.827564
-30.0,30,27.035603
-35.0,24,27.21461
-27.0,16,27.320458
-20.0,20,27.434736
-32.0,32,27.624036
-26.0,26,27.781959
-40.0,29,27.963208
-116.0,17,28.081736
-16.0,16,28.214361
-24.0,24,28.356466
-14.0,14,28.442937
-111.0,23,28.599611
-23.0,23,28.765473
-17.0,17,28.886947
-23.0,23,29.046133
-23.0,23,29.205212
-17.0,17,29.349661
-22.0,22,29.488112
-17.0,17,29.573462
-33.0,22,29.715437
-21.0,21,29.865064
-19.0,19,30.011252
-24.0,24,30.178186
-23.0,23,30.326213
-27.0,27,30.533964
-15.0,15,30.649362
-27.0,27,30.8463
-22.0,22,30.986705
-27.0,27,31.146921
-20.0,20,31.300307
-100.0,23,31.474664
-18.0,18,31.569656
-30.0,19,31.691761
-42.0,20,31.83667
-20.0,20,31.987533
-16.0,16,32.067322
-17.0,17,32.153612
-26.0,26,32.353459
-21.0,21,32.503155
-13.0,13,32.590308
-16.0,16,32.672182
-19.0,19,32.803054
-28.0,28,32.99936
-31.0,31,33.180887
-17.0,17,33.306289
-15.0,15,33.413751
-22.0,22,33.567362
-21.0,21,37.690501
-23.0,23,37.812928
-18.0,18,37.896421
-16.0,16,37.988567
-17.0,17,38.097162
-17.0,17,38.213558
-13.0,13,38.305154
-13.0,13,38.381361
-32.0,21,38.496303
-20.0,20,38.634362
-15.0,15,38.751416
-22.0,22,38.861035
-81.0,15,38.945825
-20.0,20,39.070971
-29.0,18,39.163891
-12.0,12,39.254421
-17.0,17,39.364681
-23.0,12,39.465287
-40.0,18,39.580118
-15.0,15,39.652734
-20.0,20,39.796036
-121.0,22,39.953404
-44.0,22,40.065992
-17.0,17,40.185455
-21.0,21,40.333943
-20.0,20,40.48365
-14.0,14,40.573045
-16.0,16,40.663786
-12.0,12,40.755516
-13.0,13,40.854379
-18.0,18,40.953237
-16.0,16,41.052896
-19.0,19,41.189319
-60.0,16,41.278888
-25.0,25,41.426644
-14.0,14,41.518228
-11.0,11,41.591483
-56.0,23,41.739983
-22.0,22,41.887099
-20.0,20,42.02803
-15.0,15,42.148653
-30.0,30,42.327202
-25.0,25,42.466314
-28.0,28,42.657582
-23.0,23,42.812303
-18.0,18,42.939906
-45.0,23,43.086337
-18.0,18,43.220553
-14.0,14,43.311162
-21.0,21,43.455969
-128.0,18,43.570937
-17.0,17,43.694591
-20.0,20,43.819907
-22.0,22,43.942086
-23.0,23,44.08178
-14.0,14,44.20033
-11.0,11,44.289453
-20.0,20,44.426008
-15.0,15,44.53252
-38.0,16,44.650862
-17.0,17,44.777754
-13.0,13,44.876803
-17.0,17,45.016909
-16.0,16,45.156765
-17.0,17,45.286843
-16.0,16,45.389276
-17.0,17,45.52467
-18.0,18,45.621958
-17.0,17,45.737335
-11.0,11,45.821313
-17.0,17,45.910667
-55.0,22,46.087273
-20.0,20,46.215782
-18.0,18,46.328212
-15.0,15,46.447246
-26.0,26,46.638728
-29.0,18,46.726445
-18.0,18,46.82993
-18.0,18,46.96303
-21.0,21,47.11451
-16.0,16,47.241356
-24.0,24,47.408627
-59.0,15,47.516973
-31.0,20,47.650022
-28.0,28,47.819391
-93.0,16,47.900187
-27.0,27,48.079346
-15.0,15,48.180553
-17.0,17,48.277438
-28.0,17,48.429413
-169.0,26,48.604996
-18.0,18,48.724323
-97.0,20,48.844384
-17.0,17,49.005084
-23.0,23,49.201725
-15.0,15,49.282933
-17.0,17,49.394728
-25.0,25,49.616944
-20.0,20,49.782869
-84.0,18,49.932154
-13.0,13,50.049076
-16.0,16,50.208283
-94.0,17,50.357064
-23.0,23,50.543766
-26.0,26,50.738883
-22.0,22,50.946076
-23.0,12,51.042837
-72.0,17,51.167645
-23.0,23,51.334826
-13.0,13,51.47628
-18.0,18,51.639865
-14.0,14,56.034268
-15.0,15,56.117542
-21.0,21,56.226849
-33.0,22,56.36347
-17.0,17,56.466843
-34.0,34,56.645595
-24.0,24,56.745321
-53.0,20,56.879228
-20.0,20,56.971858
-13.0,13,57.044717
-13.0,13,57.138364
-18.0,18,57.276972
-23.0,23,57.481087
-21.0,21,57.596961
