#{"t_start": 1748631938.2491717, "env_id": "Maze-v0"}
r,l,t
-15.0,15,1.367426
-34.0,34,1.425557
-23.0,23,1.468491
-30.0,30,1.545273
-20.0,14,1.577341
-22.0,22,1.614374
-19.0,19,1.649646
-17.0,17,1.683454
-12.0,12,1.707143
-18.0,18,1.739057
-19.0,19,1.77812
-12.0,15,1.809635
-17.0,17,1.843394
-15.0,15,1.877534
-20.0,23,1.929554
-22.0,22,1.969221
-18.0,15,2.001184
-15.0,15,2.028502
-23.0,23,2.068474
-25.0,25,2.112176
-15.0,15,2.144411
-13.0,13,2.169202
-19.0,19,2.204118
-28.0,28,2.251498
-17.0,17,2.284801
-20.0,20,2.321149
-30.0,30,2.373982
-28.0,28,2.418091
-22.0,22,2.455109
-25.0,25,2.507149
-29.0,24,2.555821
-17.0,17,2.592929
-21.0,21,2.633252
-20.0,20,2.668188
-16.0,19,2.700719
-34.0,34,2.750237
-20.0,20,2.786829
-15.0,15,2.816165
-22.0,22,2.854156
-20.0,20,2.887707
-13.0,21,2.926868
-21.0,21,2.962767
-24.0,19,2.998715
-22.0,22,3.03976
-16.0,16,3.072312
-18.0,18,3.106368
-20.0,20,3.141961
-20.0,20,3.183078
-20.0,20,3.216344
-19.0,22,3.660762
-18.0,18,3.692057
-16.0,16,3.725261
-20.0,20,3.767721
-21.0,21,3.807248
-20.0,20,3.84664
-16.0,19,3.882978
-16.0,16,3.915937
-22.0,25,3.97612
-19.0,19,4.02484
-20.0,20,4.060604
-19.0,19,4.095799
-27.0,27,4.14378
-16.0,16,4.171604
-18.0,18,4.206756
-22.0,22,4.244052
-25.0,25,4.290161
-19.0,19,4.321867
-18.0,18,4.350689
-18.0,18,4.38496
-24.0,24,4.429459
-15.0,20,4.468823
-15.0,15,4.500113
-21.0,21,4.535542
-19.0,19,4.568583
-24.0,24,4.608194
-12.0,15,4.638081
-23.0,23,4.674126
-17.0,17,4.704172
-31.0,31,4.757722
-16.0,16,4.786326
-15.0,15,4.818174
-28.0,21,4.861192
-17.0,17,4.896835
-16.0,16,4.93034
-13.0,16,4.961359
-23.0,23,5.003797
-21.0,21,5.044353
-27.0,27,5.094794
-20.0,20,5.132813
-26.0,26,5.18033
-14.0,14,5.207009
-24.0,24,5.248586
-16.0,16,5.278268
-18.0,18,5.310069
-14.0,14,5.340215
-33.0,33,5.391851
-19.0,19,5.433754
-20.0,20,5.473311
-17.0,17,5.511532
-22.0,25,5.572399
-23.0,28,6.902932
-22.0,22,6.938301
-16.0,18,6.969057
-20.0,20,7.004717
-22.0,22,7.043035
-17.0,17,7.076863
-13.0,13,7.10111
-15.0,15,7.132549
-23.0,23,7.171902
-13.0,13,7.197242
-12.0,12,7.222995
-15.0,18,7.259539
-23.0,23,7.303018
-15.0,15,7.331297
-19.0,19,7.371202
-15.0,15,7.398771
-16.0,16,7.43095
-20.0,20,7.46911
-17.0,17,7.504207
-14.0,14,7.53535
-22.0,22,7.578461
-27.0,23,7.621037
-12.0,12,7.643325
-18.0,18,7.679555
-10.0,10,7.703526
-15.0,15,7.735993
-15.0,15,7.762162
-19.0,15,7.791181
-15.0,15,7.819147
-23.0,23,7.862302
-22.0,22,7.897943
-15.0,15,7.928027
-16.0,16,7.956533
-20.0,14,7.989954
-17.0,20,8.028676
-16.0,16,8.059219
-19.0,22,8.10537
-24.0,24,8.171308
-17.0,17,8.203752
-19.0,19,8.243334
-26.0,26,8.291068
-16.0,16,8.319895
-19.0,19,8.355143
-16.0,16,8.388282
-12.0,17,8.422436
-30.0,30,8.476364
-21.0,21,8.526613
-20.0,20,8.564147
-28.0,28,8.614992
-15.0,18,8.653669
-11.0,11,8.676217
-17.0,17,8.713418
-11.0,21,8.752301
-12.0,15,8.797495
-13.0,13,8.824361
-18.0,18,8.856415
-16.0,19,8.891429
-13.0,13,8.918646
-19.0,19,8.95351
-12.0,18,8.990396
-12.0,21,9.029256
-19.0,19,9.064821
-20.0,20,9.102494
-15.0,14,9.126939
-21.0,21,9.166559
-23.0,17,9.20187
-19.0,19,9.24149
-15.0,18,9.274781
-22.0,22,9.317589
-17.0,17,9.348068
-19.0,19,9.384197
-26.0,26,9.425344
-22.0,22,9.466088
-14.0,14,9.495108
-12.0,15,9.527674
-17.0,17,9.557027
-17.0,17,9.589463
-18.0,21,9.62965
-22.0,22,9.668573
-11.0,11,9.692928
-23.0,19,9.732249
-18.0,18,9.76276
-28.0,28,9.812924
-27.0,27,9.855232
-22.0,22,9.89889
-16.0,16,9.927616
-16.0,16,9.96016
-21.0,21,9.997073
-18.0,21,10.034525
-17.0,17,10.069713
-27.0,27,10.111741
-25.0,23,10.15118
-19.0,19,10.191821
-18.0,20,10.240863
-12.0,12,10.263738
-20.0,20,10.303989
-20.0,20,10.339093
-16.0,16,10.368609
-30.0,22,10.409129
-12.0,17,10.446505
-16.0,16,10.477289
-17.0,17,10.506975
-13.0,13,10.532281
-13.0,13,10.557071
-14.0,14,10.58347
-15.0,15,10.615303
-20.0,23,10.659782
-19.0,19,10.713145
-21.0,21,10.751318
-7.0,12,10.778465
-26.0,26,10.823632
-26.0,26,12.130462
-12.0,12,12.154352
-17.0,17,12.182741
-12.0,12,12.210497
-13.0,13,12.241747
-16.0,16,12.278443
-13.0,13,12.319096
-21.0,14,12.351571
-15.0,15,12.383244
-18.0,18,12.416654
-14.0,14,12.445059
-16.0,16,12.478874
-22.0,25,12.521907
-16.0,15,12.548984
-17.0,20,12.586847
-21.0,21,12.628907
-12.0,15,12.661861
-21.0,21,12.699164
-15.0,15,12.726304
-17.0,17,12.761536
-16.0,16,12.792638
-15.0,15,12.819235
-9.0,12,12.847207
-14.0,14,12.871434
-11.0,14,12.899961
-25.0,25,12.940857
-14.0,14,12.96593
-14.0,14,12.994161
-32.0,27,13.041674
-21.0,17,13.07619
-16.0,16,13.109799
-15.0,15,13.140033
-13.0,13,13.165546
-12.0,12,13.191167
-19.0,19,13.227786
-18.0,18,13.263672
-13.0,13,13.290936
-20.0,20,13.330601
-19.0,19,13.365667
-20.0,20,13.400225
